m/z,I,S/N
341.10306,1.5426,27.77
341.10643,0.7522,13.35
341.10714,1.13,20.24
341.11279,0.5734,10.09
341.11429,0.573,10.08
341.12418,22.74,414.45
341.13543,1.0175,18.19
341.13944,1.8588,33.53
341.14352,0.6422,11.34
341.15066,0.5066,8.87
341.15161,0.4011,6.94
341.16057,5.6543,102.77
341.17584,0.8471,15.08
342.08305,1.178,21.12
342.09116,1.737,31.31
342.0983,0.5694,10.01
342.10169,0.4735,8.26
342.11944,2.8181,51.03
342.12754,3.8074,69.08
342.1347,0.5607,9.85
342.15584,0.5693,10.01
342.16393,0.9238,16.48
343.04931,0.4999,8.75
343.06707,1.4833,26.68
343.08233,1.2951,23.25
343.08569,1.5858,28.55
343.09356,0.7286,12.92
343.09539,0.6651,11.76
343.09693,0.5814,10.23
343.10346,9.7691,177.83
343.1147,0.3784,6.53
343.11871,3.0141,54.61
343.12208,0.6919,12.25
343.12281,0.5207,9.12
343.12844,0.4176,7.24
343.12995,0.7264,12.88
343.13091,0.4688,8.18
343.13176,0.4498,7.83
343.13984,7.2029,131.02
343.1551,2.7329,49.48
343.17622,0.7754,13.77
343.19147,0.7046,12.48
344.07758,0.577,10.15
344.08095,0.8021,14.26
344.08904,0.3933,6.8
344.09872,0.611,10.77
344.10681,1.7513,31.57
344.11397,1.2159,21.81
344.11732,0.4083,7.07
344.12207,0.8216,14.61
344.1252,0.5054,8.85
344.14319,1.342,24.11
344.15035,0.8055,14.32
344.15846,0.4339,7.54
345.06159,0.8891,15.85
345.06496,1.4542,26.15
345.07283,0.6474,11.44
345.07466,0.6259,11.04
345.07619,0.5521,9.7
345.08272,1.2149,21.79
345.09798,4.388,79.67
345.10134,2.2426,40.54
345.10921,1.7665,31.85
345.11104,0.8753,15.59
345.11731,0.464,8.09
345.11911,3.9794,72.22
345.13436,6.9641,126.66
345.13773,0.6051,10.66
345.1456,1.0555,18.88
345.1555,1.1155,19.98
345.17075,3.0309,54.92
345.20714,0.5052,8.84
346.06022,0.4214,7.31
346.09224,0.396,6.85
346.09322,1.9423,35.06
346.09661,0.6853,12.13
346.10133,1.0124,18.09
346.10445,0.5448,9.56
346.10579,0.4296,7.46
346.12245,0.6489,11.46
346.1296,2.1559,38.95
346.13772,1.7405,31.38
346.14085,0.647,11.43
346.16599,0.555,9.75
346.17411,0.8789,15.66
347.04422,0.419,7.27
347.07724,3.9371,71.45
