m/z,I,S/N
317.24966,0.5537,8.58
317.25083,0.4571,7.03
317.25184,0.6461,10.06
317.25504,0.6106,9.49
317.26453,0.4574,7.04
318.10957,0.8868,13.91
318.13473,0.7421,11.59
318.92016,0.4936,7.62
319.08235,0.7564,11.82
319.09358,1.7074,27.05
319.11873,2.3054,36.63
319.12997,1.9794,31.41
319.15512,2.456,39.04
319.16634,0.4808,7.41
319.1915,0.7981,12.49
320.0776,0.5002,7.72
320.08883,0.7349,11.48
320.11398,1.2206,19.26
320.12522,1.8064,28.64
320.13989,0.4552,7
320.15036,0.9063,14.23
320.15849,0.8054,12.61
320.1616,0.5685,8.82
320.17543,0.5239,8.1
320.17583,0.5246,8.11
320.92277,0.6127,9.52
321.06165,0.6397,9.96
321.07287,0.5546,8.59
321.09801,2.4797,39.42
321.10925,5.3691,85.69
321.1344,4.468,71.26
321.14563,1.9616,31.12
321.17078,2.4526,38.99
321.17416,5.8107,92.76
321.21055,0.6729,10.49
322.09326,1.7785,28.19
322.10137,0.4559,7.01
322.10449,1.7912,28.4
322.11259,1.1862,18.71
322.12964,1.9888,31.56
322.13775,0.9145,14.36
322.14088,1.3532,21.38
322.16603,0.5375,8.32
322.17413,0.6104,9.49
322.17751,1.2855,20.3
322.31719,0.4522,6.95
322.33881,0.4622,7.11
322.83834,0.9172,14.4
322.85604,0.5082,7.85
322.87473,0.5,7.72
322.89639,0.6089,9.46
323.07727,1.493,23.62
323.08851,2.5538,40.61
323.11366,4.3935,70.07
323.12489,5.1738,82.56
323.13299,0.5975,9.28
323.15004,4.1191,65.67
323.16127,0.7608,11.89
323.16868,0.8069,12.63
323.16995,0.4563,7.02
323.18643,1.0725,16.89
323.1898,0.4623,7.11
324.07254,0.6415,9.98
324.10891,2.185,34.7
324.11701,0.7137,11.14
324.12014,1.111,17.5
324.12825,0.7675,12
324.14529,0.9857,15.5
324.1534,0.6542,10.19
324.85399,1.0193,16.03
324.89434,0.7008,10.93
325.09293,3.0492,48.54
325.10415,3.0674,48.83
325.12931,4.2745,68.16
325.14055,1.7097,27.09
325.14458,0.606,9.42
325.14794,0.5663,8.78
325.16569,1.6379,25.94
325.18261,0.4925,7.6
325.18433,34.984,559.92
325.18563,0.6951,10.84
325.18587,0.6891,10.75
326.08817,1.4259,22.55
326.09628,0.6421,9.99
326.10751,0.6154,9.57
326.12456,1.4828,23.46
326.13266,0.897,14.08
326.18768,7.2989,116.59
326.8065,1.4616,23.12
326.85196,0.4688,7.22
327.07218,1.3294,21
327.08342,0.6592,10.27
327.08744,0.5525,8.56
327.10857,3.8548,61.44
327.11981,1.5457,24.46
327.12382,0.9579,15.05
327.13506,0.6704,10.45
327.14496,2.2333,35.47
327.16021,0.9694,15.24
327.16359,0.8222,12.88
327.18012,1.7795,28.21
327.18137,0.6203,9.65
327.19102,0.7269,11.35
327.1966,0.5328,8.24
328.10381,1.2134,19.14
328.11193,0.6247,9.72
328.14832,0.4789,7.38
328.15544,0.5391,8.34
328.18348,0.4922,7.59
328.7641,0.4805,7.41
328.80445,2.7994,44.54
328.82214,0.8926,14.01
329.08784000000003,1.4649,23.17
329.10309,0.7264,11.34
329.11432,0.9675,15.2
329.12422,1.7973,28.49
329.13948,1.7941,28.44
329.15071,0.8995,14.12
329.16058,0.58,9
329.17586,1.3997,22.13
329.23338,0.527,8.15
329.65732,0.5668,8.79
329.71971,0.4727,7.28
329.90739,0.4814,7.42
330.09834,0.5996,9.31
330.10957,0.8154,12.77
330.13472,0.6693,10.43
330.14597,0.6507,10.13
330.8015,0.7418,11.59
330.80241,1.3656,21.58
330.81919,0.4755,7.33
330.8201,1.7482,27.71
331.08235,0.7333,11.45
331.09359,1.1158,17.58
331.10348,0.8284,12.98
331.11874,2.2113,35.12
331.12997,1.7857,28.31
331.15513,2.7388,43.57
331.16636,0.4609,7.09
331.19151,1.0796,17
331.32025,0.681,10.62
332.08882,0.7255,11.33
332.11399,1.2834,20.26
332.12209,0.6838,10.66
332.12522,2.3533,37.4
332.15037,1.0016,15.75
332.15848,0.6238,9.7
332.1616,0.5175,8
332.77261,1.9976,31.7
332.79945,0.5752,8.92
332.81715,0.5492,8.51
332.81805,1.0017,15.75
333.00369,0.5427,8.4
333.00474,0.6438,10.02
333.00865,0.5122,7.91
333.01038,0.5269,8.15
333.01184,0.59,9.16
333.01528,0.8219,12.87
333.01636,0.6018,9.35
333.01864,0.4942,7.63
333.01887,0.5083,7.85
333.02116,0.5985,9.3
333.02469,0.5439,8.42
333.0254,0.5032,7.77
333.03143,0.9063,14.22
333.0324,0.5486,8.5
333.03491,0.4724,7.28
333.03965,0.5138,7.94
333.0403,0.4527,6.96
333.04156,0.5305,8.21
333.04198,0.7253,11.33
333.0428,0.455,7
333.06161,0.6807,10.61
333.07286,0.7002,10.92
333.098,2.6913,42.81
333.10923,3.9337,62.7
333.13439,6.6159,105.65
333.14562,2.292,36.41
333.17077,3.6753,58.57
333.20714,0.649,10.1
334.09325,1.7062,27.03
334.10136,0.686,10.7
334.10448,2.4602,39.11
334.11259,0.7372,11.52
334.12963,2.2413,35.6
334.13774,1.2678,20.01
334.14086,2.5199,40.06
334.16603,0.9893,15.55
334.17413,0.7275,11.36
334.76966,1.376,21.75
334.77055,4.5444,72.48
335.07726,1.7869,28.33
335.08849,3.8561,61.46
335.11364,7.3112,116.79
335.12488,7.175,114.61
335.13297,0.5072,7.83
335.15003,8.9209,142.56
335.16127,1.5595,24.68
335.18642,2.3119,36.73
335.18981,0.5388,8.34
336.07252,1.2421,19.6
336.08374,0.9411,14.78
336.09185,0.7018,10.95
336.10889,3.3819,53.87
336.117,1.3769,21.76
336.12013,3.6512,58.18
336.12823,1.4891,23.56
336.14528,2.2608,35.92
336.15338,1.8391,29.16
336.15652,0.9863,15.51
336.18977,0.5417,8.39
336.7676,2.7313,43.45
336.76851,2.2011,34.96
337.05653,0.675,10.52
337.06777,0.9272,14.56
337.09291,5.0893,81.21
337.10414,8.7188,139.33
337.11225,0.4814,7.42
337.11537,0.5317,8.23
337.12348,0.5302,8.2
337.1293,11.0019,175.89
337.14053,4.6253,73.78
337.16568,6.1876,98.8
337.20208,0.6768,10.55
337.20544,1.2572,19.84
338.08816,3.1823,50.67
338.09626,0.9875,15.52
338.09939,1.6422,26.01
338.1075,1.7209,27.27
338.12455,3.8264,60.99
338.13265,2.4285,38.6
338.13578,1.7526,27.78
338.14389,1.0626,16.73
338.16092,1.0941,17.23
338.16904,1.2603,19.89
338.76465,0.5438,8.42
338.76556,1.579,25
338.85189,0.461,7.09
338.88732,1.5048,23.81
339.07217,2.5661,40.8
339.0834,2.6373,41.94
339.09151,0.6201,9.64
339.10856,10.0469,160.6
339.11979,7.3227,116.97
339.12382,0.4572,7.03
339.1279,0.6746,10.51
339.13915,0.464,7.14
339.14494,9.1538,146.29
339.15618,1.4158,22.38
339.1602,7.0336,112.34
339.16358,0.8209,12.86
339.18133,2.1124,33.54
339.19996,21.4555,343.28
340.03891,0.7862,12.3
340.03924,0.583,9.05
340.06742,1.09,17.17
340.07552,0.5207,8.05
340.08674,0.5943,9.23
340.10381,3.6545,58.23
340.11191,1.7703,28.06
340.11504,1.4137,22.35
340.12314,1.5103,23.9
340.14019,2.2918,36.41
340.1483,1.8037,28.6
340.16355,1.4965,23.68
340.20331,4.6207,73.7
340.82213,0.6937,10.82
340.88527,2.4544,39.01
341.05146,0.7201,11.24
341.08782,4.5482,72.54
341.09098,0.497,7.67
341.09906,2.4134,38.36
341.10307,0.5946,9.23
341.10716,0.7409,11.58
341.11431,0.7509,11.74
341.1242,7.8738,125.8
341.13544,2.1467,34.09
341.13946,1.2449,19.65
341.14354,0.5505,8.53
341.16059,3.2078,51.08
341.17585,0.933,14.65
341.17922,0.866,13.58
341.19576,0.9711,15.26
341.20665,0.517,7.99
342.08307,0.9662,15.18
342.09118,0.5676,8.8
342.10958,0.6396,9.95
342.11945,1.4692,23.24
342.12755,1.2161,19.18
342.14594,0.6051,9.4
342.15584,0.4822,7.43
342.16395,0.6031,9.37
342.2286,0.6196,9.63
342.76106,1.5826,25.05
342.80139,0.4648,7.15
342.82009,0.8214,12.86
342.83779,0.8248,12.92
342.88323,0.9476,14.89
343.06708,1.1277,17.77
343.08232,0.6305,9.81
343.09357,0.6051,9.4
343.10347,3.7264,59.38
343.10665,0.4667,7.18
343.1147,0.7763,12.14
343.11872,1.853,29.38
343.12995,0.8719,13.67
343.13985,2.6598,42.3
343.15511,2.1081,33.47
343.16635,0.6324,9.84
343.1915,0.7194,11.23
343.21262,1.0756,16.94
343.99486,1.2665,19.99
344.09873,0.5813,9.02
344.10682,0.5091,7.86
344.11398,0.9061,14.22
344.12521,1.2538,19.79
344.14321,0.5395,8.35
344.15037,0.7931,12.41
344.15847,0.6252,9.72
344.759,5.2119,83.17
344.79934,0.8446,13.24
344.81802,0.4835,7.45
344.83574,1.5671,24.81
345.0616,0.4862,7.5
345.08273,0.9889,15.55
345.09798,2.0112,31.92
345.10921,2.3704,37.67
345.11104,0.5708,8.85
345.11911,1.6642,26.36
345.12042,0.5494,8.51
345.13437,4.6875,74.77
345.1456,1.6901,26.78
345.15551,0.5714,8.86
345.17075,3.2789,52.22
345.20714,0.796,12.46
346.09322,1.2543,19.8
346.10447,1.7841,28.28
346.12962,2.0336,32.28
346.13772,0.8975,14.08
346.14085,2.7044,43.02
346.166,0.8843,13.87
346.17411,0.7083,11.05
346.75696,5.7024,91.03
346.77465,0.7958,12.45
346.8328,0.5611,8.7
346.83369,0.8312,13.02
347.07725,1.6264,25.76
347.08847,2.4542,39.01
347.09838,0.5652,8.76
347.09969,0.5405,8.37
347.11364,6.9328,110.73
347.12487,5.8506,93.4
347.15002,9.6212,153.78
347.16126,1.5672,24.81
347.1864,3.3217,52.9
347.31144,0.4547,6.99
348.0725,0.8321,13.04
348.08374,0.8142,12.75
348.09182,0.6248,9.72
348.10888,3.3577,53.48
348.11698,1.367,21.6
348.12011,4.2364,67.55
348.12821,1.0959,17.26
348.14527,2.728,43.4
348.15337,1.9162,30.4
348.15649,1.7103,27.1
348.18165,0.744,11.63
348.18977,0.7878,12.33
348.2214,0.5398,8.36
348.75491,1.5452,24.46
348.77261,0.815,12.76
349.05651,0.6317,9.83
349.06774,0.7637,11.94
349.0929,5.1768,82.61
349.10413,7.4405,118.86
349.11223,0.5518,8.55
349.11537,0.5727,8.88
349.12347,0.6647,10.36
349.12928,14.8649,237.75
349.14052,6.1382,98
349.16567,8.6799,138.7
349.1769,0.585,9.08
349.20206,1.1153,17.57
349.22913,0.4875,7.52
349.24183,0.521,8.05
350.08815,2.8238,44.93
350.09625,0.9156,14.37
350.09938,2.9227,46.51
350.10748,1.4505,22.94
350.12453,4.5416,72.44
350.13263,2.5749,40.94
350.13576,3.6641,58.39
350.14387,1.0337,16.26
350.16092,2.1058,33.43
350.16902,1.6294,25.8
350.42942,0.456,7.01
350.43273,0.5749,8.92
350.43357,0.5009,7.73
350.43535,0.5537,8.58
350.4366,0.6959,10.86
350.43747,0.517,7.99
350.43861,0.4914,7.58
350.43972,0.9646,15.16
350.44101,0.5094,7.87
350.44159,0.4791,7.38
350.44258,0.6443,10.03
350.4489,0.4936,7.62
350.45764,0.4799,7.4
350.45823,0.5213,8.06
350.46492,0.8033,12.57
350.4662,0.4639,7.14
350.46673,0.4602,7.08
350.46727,0.4627,7.12
350.46887,0.6144,9.55
350.46939,0.6381,9.93
350.47091,0.7625,11.92
350.47165,0.5143,7.95
350.47202,0.7199,11.24
350.47274,0.5756,8.93
350.47339,0.4772,7.35
350.47363,0.4893,7.55
350.47478,0.5002,7.72
