m/z,I,S/N
327.09958,0.5537,7.77
327.10854,26.2391,376.94
327.11978,2.6946,38.54
327.1238,1.0822,15.37
327.12788,0.9231,13.08
327.13502,0.5342,7.49
327.14492,11.0357,158.43
327.16018,1.0967,15.58
327.18007,0.797,11.27
327.18131,1.1967,17.01
327.19658,0.6081,8.55
328.0674,1.304,18.56
328.07551,1.9107,27.28
328.08263,0.5173,7.25
328.10379,4.3531,62.38
328.1119,4.5986,65.91
328.11904,0.6218,8.75
328.12312,0.579,8.13
328.14018,1.5667,22.33
328.14827,1.9149,27.34
328.80442,2.1372,30.53
328.82212,0.6054,8.51
329.05142,2.0704,29.57
329.07004,0.9132,12.94
329.07788,0.5364,7.52
329.08781,11.5993,166.53
329.09904,0.9009,12.76
329.10305,1.677,23.92
329.10644,0.5554,7.8
329.10714,0.643,9.05
329.11429,0.8003,11.31
329.12419,11.9589,171.7
329.13541,0.5624,7.9
329.13945,1.9579,27.95
329.16057,2.0106,28.71
329.17584,1.4619,20.82
330.08305,1.0649,15.12
330.09116,1.8298,26.11
330.09831,0.534,7.49
330.11944,1.0537,14.96
330.12754,1.7206,24.54
330.13469,0.9187,13.02
330.80238,1.1185,15.89
330.82008,1.3589,19.34
331.06707,2.099,29.98
331.08233,1.8291,26.1
331.0857,0.9384,13.3
331.09356,1.365,19.43
331.09539,0.8024,11.35
331.10346,5.5249,79.22
331.11872,3.8442,55.06
331.12995,1.2801,18.21
331.13984,2.4032,34.35
331.1551,3.8474,55.11
331.19147,1.0714,15.21
331.85364,0.6821,9.62
332.07758,0.8723,12.35
332.08094,0.5279,7.4
332.10682,0.8852,12.54
332.11396,1.7097,24.39
332.12207,1.1063,15.71
332.12519,1.4965,21.32
332.1432,0.6241,8.78
332.15035,1.1082,15.74
332.15845,0.887,12.56
332.77258,1.6045,22.87
332.79944,0.5206,7.3
332.81713,0.6906,9.74
332.81802,0.8506,12.04
332.96499,0.608,8.55
332.97672,0.5099,7.14
333.00452,0.634,8.92
333.00878,0.6509,9.17
333.01093,0.539,7.56
333.0112,0.5915,8.31
333.01342,0.6429,9.05
333.01535,0.5107,7.15
333.01646,0.6302,8.87
333.019,0.6144,8.64
333.01937,0.7963,11.26
333.02172,0.6172,8.68
333.02344,0.5987,8.42
333.02455,0.5468,7.67
333.02911,0.5657,7.94
333.04054,0.6389,9
333.04111,0.6094,8.57
333.05405,0.5194,7.28
333.05605,0.5242,7.35
333.06159,1.3042,18.56
333.06496,1.3484,19.19
333.07282,0.9359,13.26
333.07465,0.7431,10.49
333.08272,1.2702,18.07
333.09798,6.5483,93.93
333.10135,1.0254,14.55
333.10921,4.0992,58.73
333.11103,0.5845,8.21
333.11911,1.419,20.21
333.13239,0.4994,6.99
333.13285,0.5159,7.23
333.13436,11.2573,161.61
333.14559,2.045,29.21
333.17075,5.1191,73.39
333.20713,0.6495,9.15
333.85068,0.8602,12.18
334.05685,0.6747,9.51
334.09323,3.1668,45.33
334.10134,1.2005,17.07
334.10446,1.5475,22.06
334.11257,0.8527,12.07
334.12961,3.4156,48.91
334.13772,2.1628,30.9
334.14084,1.5287,21.79
334.166,1.1005,15.63
334.1741,1.2346,17.56
334.76963,1.2981,15.76
334.77053,3.7136,46.1
334.93839,1.0909,13.16
335.04085,0.8942,10.69
335.07724,6.5619,81.88
335.08061,1.1357,13.73
335.08847,4.7035,58.54
335.09657,0.5235,6.04
335.11362,19.0694,238.98
335.12486,6.917,86.34
335.13297,0.6277,7.34
335.15001,17.1513,214.88
335.16124,1.2966,15.75
335.1864,3.7236,46.23
336.07249,3.2122,39.81
336.0806,1.1087,13.39
336.08373,0.9041,10.82
336.09182,0.7075,8.35
336.10888,6.7654,84.44
336.11698,3.1538,39.07
336.12011,2.7214,33.64
336.12822,1.2569,15.25
336.14526,3.1807,39.41
336.15336,3.0787,38.13
336.15649,0.6129,7.16
336.18165,0.5861,6.82
336.18974,0.6853,8.07
336.24047,0.5226,6.03
336.76759,2.1729,26.75
336.7685,1.6831,20.6
337.05651,3.3509,41.55
337.06774,1.458,17.77
337.07586,0.5778,6.72
337.09289,20.7079,259.55
337.09625,0.5177,5.96
337.10413,10.6759,133.55
337.11223,1.1759,14.23
337.12928,30.7277,385.41
337.14051,5.1647,64.33
337.14862,0.6304,7.38
337.16567,12.9187,161.72
337.20205,1.3496,16.41
338.05177,0.8234,9.8
338.05986,0.6187,7.23
338.08815,9.0135,112.67
338.09625,3.9413,48.96
338.09938,1.6161,19.76
338.10749,1.8656,22.89
338.12453,8.227,102.79
338.13263,5.8767,73.27
338.13576,1.7535,21.49
338.14387,1.035,12.46
338.16091,1.9767,24.29
338.16902,2.9226,36.17
338.76554,1.3748,16.73
338.88732,1.747,21.4
338.9333,0.534,6.17
339.03577,0.9522,11.42
339.07216,14.1697,177.43
339.08339,4.5931,57.15
339.08742,0.574,6.67
339.09077,0.5154,5.93
339.0915,1.8562,22.77
339.09714,0.517,5.95
339.10047,0.5041,5.79
339.107,0.9754,11.71
339.10855,44.5449,558.95
339.10969,0.5134,5.91
339.11978,10.1034,126.36
339.12788,1.4261,17.37
339.13354,0.7429,8.79
339.13601,0.6046,7.06
339.14493,27.8519,349.28
339.14667,0.5392,6.23
339.15616,1.4659,17.87
339.16019,6.2834,78.38
339.16426,0.649,7.61
339.18131,5.2882,65.88
339.19994,2.2711,27.99
340.03897,0.7634,9.05
340.06741,3.8881,48.3
340.07551,2.3608,29.11
340.08674,0.8002,9.51
340.10379,12.1849,152.5
340.11189,7.8773,98.4
340.11502,1.56,19.05
340.12313,1.6426,20.09
340.14017,4.673,58.15
340.14828,5.5175,68.76
340.16354,1.0535,12.69
340.17656,0.5916,6.89
340.18467,0.9083,10.87
340.20329,0.6417,7.52
340.88526,3.1874,39.49
341.05142,3.9181,48.67
341.06263,0.5187,5.98
341.07077,0.7196,8.5
341.08781,28.7975,361.16
341.09904,4.8733,60.67
341.10305,0.9345,11.2
341.10714,2.0892,25.7
341.11278,0.8072,9.6
341.11526,0.587,6.83
341.1187,0.5563,6.45
341.12419,37.238,467.17
341.13542,3.0849,38.21
341.13944,1.1624,14.06
341.14353,0.8441,10.06
341.15068,0.5884,6.85
341.15165,0.6183,7.23
341.16058,10.4615,130.86
341.17583,0.7571,8.97
341.19695,0.9854,11.84
341.46574,0.5172,5.96
342.05477,0.7609,9.02
342.0653,0.5657,6.57
342.08305,5.3164,66.24
342.09116,4.2492,52.83
342.0983,0.4978,5.71
342.10239,0.7348,8.69
342.11944,5.2623,65.56
342.12754,5.7703,71.94
342.15583,0.8328,9.92
342.16393,1.8349,22.51
342.76104,1.3765,16.75
342.80138,0.5803,6.75
342.82008,0.8574,10.23
342.88322,1.4268,17.38
343.04931,0.5228,6.03
343.05899,0.5128,5.9
343.06707,7.4088,92.52
343.08232,0.9523,11.42
343.0857,1.0875,13.12
343.08641,0.7295,8.62
343.09203,0.5846,6.8
343.09356,0.542,6.27
343.0954,1.0895,13.14
343.10345,22.2668,279.13
343.10661,0.5318,6.14
343.11469,1.4418,17.57
343.11871,2.0865,25.67
343.12208,0.4961,5.69
343.1228,1.0183,12.25
343.12842,0.7458,8.83
343.12994,0.8766,10.47
343.13984,11.9309,149.32
343.1551,2.2423,27.62
343.17622,1.3181,16.02
343.19148,0.9852,11.84
344.07042,1.1305,13.66
344.07756,0.7118,8.4
344.08094,0.8082,9.61
344.0987,2.6453,32.69
344.1068,3.8691,48.06
344.11396,1.0379,12.5
344.12207,0.6721,7.9
344.12519,0.8399,10.01
344.13508,1.2021,14.56
344.1432,2.1906,26.97
344.15035,0.856,10.21
344.75899,4.824,60.05
344.79933,1.3283,16.14
344.81801,0.5581,6.47
344.83572,1.272,15.44
345.04633,0.6535,7.67
345.06158,0.8758,10.46
345.06495,1.5088,18.41
345.0728,0.6515,7.64
345.07465,1.0325,12.43
345.07618,0.6201,7.25
345.08271,7.1601,89.39
345.09244,0.5438,6.29
345.09797,3.7567,46.65
345.10134,1.1666,14.11
345.10205,0.5868,6.83
345.1092,2.154,26.52
345.11103,1.4728,17.96
345.1191,9.4973,118.75
345.13435,6.4696,80.72
345.14559,1.4126,17.2
345.15549,2.1468,26.43
345.17074,3.8561,47.89
345.20713,0.7983,9.49
346.00542,0.4941,5.67
346.0602,0.54990000000000006,6.37
346.08606,1.2218,14.81
346.09322,1.7953,22.01
346.09658,0.6714,7.89
346.1013,0.6337,7.42
346.10444,1.3522,16.44
346.10626,0.5415,6.26
346.11436,0.9348,11.2
346.12246,1.6477,20.16
346.1296,2.5181,31.09
346.1377,1.3152,15.98
346.14083,1.458,17.77
346.166,0.9934,11.94
346.17409,0.8845,10.57
