m/z,I,S/N
316.11188,1.826,14.22
316.92216,1.3339,10.36
317.03028,5.0978,39.88
317.05141,2.6012,20.3
317.06666,9.2731,72.63
317.07005,1.1934,9.26
317.0878,2.7039,21.11
317.10305,8.2608,64.69
317.12418,1.7162,13.36
317.13943,5.4194,42.41
317.15808,1.2607,9.79
317.16463,1.5901,12.37
317.16624,1.3923,10.82
317.17283,1.3132,10.2
317.17582,2.063,16.08
317.19365,1.1847,9.19
317.2097,1.1707,9.08
317.21794,1.3659,10.61
317.22095,1.1674,9.06
317.24912,1.2001,9.31
318.06192,1.3787,10.71
318.07002,1.5387,11.97
319.00955,1.9362,15.09
319.04593,9.4984,74.4
319.06118,1.6288,12.68
319.08231,12.3671,96.9
319.1187,10.6123,83.14
319.15509,4.4261,34.62
319.19485,3.3204,25.94
319.23123,10.304,80.72
320.04116,1.4776,11.49
320.04929,1.742,13.56
320.07756,2.312,18.03
320.08567,2.4692,19.27
320.11394,1.8063,14.07
320.12205,2.8531,22.28
320.23458,2.3251,18.14
320.92274,2.2167,17.29
321.0252,7.0344,55.07
321.04045,2.0179,15.73
321.06159,17.5751,137.75
321.07685,2.1609,16.85
321.09798,22.9793,180.13
321.11323,1.5602,12.14
321.13436,15.538,121.77
321.17074,3.314,25.89
321.17412,1.198,9.3
321.21051,2.2467,17.52
322.02857,1.2145,9.43
322.05684,2.3833,18.59
322.06494,3.2304,25.24
322.09322,3.1372,24.51
322.10132,3.9141,30.6
322.13771,3.0307,23.67
322.8383,1.359,10.56
322.89635,1.4847,11.55
323.00446,1.1912,9.24
323.01973,1.7668,13.76
323.04085,12.9579,101.53
323.05611,3.3207,25.95
323.07724,28.0145,219.63
323.09249,2.3089,18.01
323.11363,32.1378,251.97
323.12888,1.3676,10.63
323.15001,10.2569,80.35
323.16528,1.3344,10.37
324.04422,1.6775,13.06
324.07248,3.0319,23.68
324.0806,4.1692,32.6
324.10888,1.8254,14.22
324.11699,5.4796,42.88
324.15337,1.7215,13.4
324.85397,1.2654,9.83
324.89431,1.2596,9.78
325.02012,3.9273,30.7
325.03537,3.6115,28.23
325.05651,20.9367,164.11
325.07176,4.6955,36.73
325.09289,40.7078,319.18
325.10815,3.0095,23.51
325.12928,23.9772,187.96
325.14453,2.2935,17.89
325.16566,3.4981,27.34
325.18091,1.2421,9.64
325.18429,4.9091,38.4
326.05176,1.2588,9.77
326.05986,3.9638,30.99
326.06701,1.2228,9.49
326.07511,1.2609,9.79
326.08814,2.2316,17.4
326.09625,6.885,53.9
326.13263,4.21,32.92
326.18763,1.4554,11.32
327.01464,2.5138,19.62
327.03577,9.3796,73.47
327.05102,6.9558,54.46
327.06409,1.1968,9.29
327.07216,30.344,237.9
327.08741,6.9539,54.44
327.10854,35.3578,277.22
327.1238,4.6898,36.68
327.14493,9.1806,71.91
327.16018,2.5385,19.81
328.03911,1.8825,14.67
328.04628,1.5821,12.31
328.05438,1.7101,13.31
328.06741,1.6217,12.62
328.07551,5.0834,39.77
328.08266,1.7753,13.83
328.11189,5.8624,45.88
328.12713,1.4869,11.56
328.14829,1.4806,11.51
328.80441,1.9321,15.05
328.82212,1.5873,12.35
329.01502,1.3189,10.25
329.03029,5.2505,41.08
329.05142,11.9521,93.64
329.06667,9.9704,78.1
329.07006,1.6613,12.93
329.07974,1.5765,12.27
329.0878,20.6536,161.89
329.10306,9.0172,70.63
329.10642,1.2635,9.81
329.12419,10.5372,82.55
329.13945,5.6605,44.3
329.16059,1.3324,10.35
329.17583,2.3501,18.33
330.05477,1.6818,13.09
330.06193,1.9586,15.26
330.07003,1.8466,14.38
330.09116,2.8072,21.92
330.09832,1.6403,12.77
330.1064,1.787,13.92
330.12754,2.1888,17.07
