m/z,I,S/N
330.09829,0.4948,12.46
330.10952,0.7223,18.23
330.13466,0.5207,13.12
330.14591,0.56,14.11
330.80145,0.5544,13.97
330.80235,0.7202,18.18
330.82004,1.5518,39.28
331.0823,0.7452,18.81
331.09353,1.0105,25.55
331.10342,0.7526,19
331.11869,2.0694,52.41
331.12993,1.5051,38.09
331.13982,0.4696,11.82
331.15507,2.1922,55.53
331.16631,0.4598,11.57
331.19145,0.6272,15.82
331.31145,0.5589,14.09
331.65523,0.6941,17.52
332.07755,0.444,11.17
332.08878,0.5039,12.69
332.11394,1.1111,28.1
332.12204,0.4136,10.4
332.12517,2.0729,52.5
332.15032,0.9143,23.1
332.15843,0.5295,13.34
332.77256,1.8906,30.66
332.8171,0.5838,9.21
332.818,1.0138,16.27
332.95519,0.414,6.43
332.96756,0.4143,6.43
332.96805,0.4107,6.37
332.96835,0.5542,8.73
332.97123,0.4563,7.12
332.9725,0.5714,9.01
332.97487,0.434,6.76
332.97899,0.4827,7.55
332.97956,0.5326,8.37
332.98749,0.5533,8.71
332.98859,0.5245,8.24
332.99153,0.4501,7.02
332.9921,0.518,8.13
332.99259,0.4155,6.45
332.9931,0.7126,11.33
333.00288,0.4155,6.45
333.07281,0.6548,10.38
333.09795,2.3399,38.04
333.10919,3.9195,63.96
333.12851,0.4753,7.43
333.13434,5.1796,84.64
333.14557,2.2021,35.77
333.17072,2.7614,44.95
333.2071,0.6059,9.58
333.6523,0.4268,6.64
333.65318,0.4931,7.73
334.0932,1.5678,25.36
334.1013,0.5977,9.44
334.10443,2.1088,34.24
334.11254,0.6536,10.36
334.12959,2.077,33.72
334.13769,0.9918,15.91
334.14082,2.3212,37.73
334.14892,0.5278,8.29
334.16598,0.8364,13.36
334.17408,0.6945,11.03
334.76961,1.3715,22.14
334.77051,3.8438,62.72
334.81504,0.4093,6.35
335.07721,1.6572,26.83
335.08844,3.5705,58.23
335.1078,0.4315,6.71
335.1136,5.9425,97.16
335.12483,6.5279,106.77
335.13296,0.5924,9.35
335.14999,6.6997,109.59
335.16122,1.2961,20.9
335.18637,1.7409,28.21
336.07247,1.2131,19.54
336.0837,0.9272,14.85
336.0918,0.5822,9.19
336.10885,3.3589,54.76
336.11695,1.0344,16.61
336.12008,3.5701,58.23
336.12818,1.1461,18.44
336.14523,2.1045,34.17
336.15334,1.4439,23.33
336.15647,0.9393,15.05
336.76756,2.4195,39.34
336.76846,1.7399,28.19
337.05647,0.6771,10.74
337.06772,0.986,15.82
337.09287,4.6631,76.17
337.1041,8.3631,136.89
337.11221,0.5018,7.87
337.11533,0.5543,8.73
337.12344,0.5231,8.22
337.12925,9.412,154.1
337.14048,4.4058,71.94
337.14859,0.4468,6.96
337.16564,4.6723,76.32
337.20202,0.6186,9.78
338.07107,0.4016,6.22
338.08811,3.0707,50.03
338.09621,0.8068,12.87
338.09935,1.7615,28.54
338.10745,1.5955,25.82
338.1245,3.7638,61.4
338.1326,1.8202,29.51
338.13573,1.869,30.31
338.14384,0.8872,14.19
338.16089,1.2051,19.41
338.16899,1.1764,18.94
338.31675,0.4396,6.85
338.7646,0.5007,7.85
338.76551,1.3493,21.78
338.83319,0.522,8.2
338.88728,1.295,20.89
339.07213,2.4632,40.06
