m/z,I,S/N
343.11468,0.7353,11.69
343.11872,1.2041,19.43
343.12995,1.1505,18.54
343.13984,2.5702,42
343.1551,1.7789,28.93
343.16634,0.5327,8.34
343.19148,0.596,9.38
343.21261,3.3956,55.64
344.09873,0.6874,10.89
344.1068,0.7069,11.22
344.11396,0.7968,12.7
344.1252,1.2851,20.77
344.14321,0.4547,7.05
344.15034000000003,0.7965,12.7
344.16157,0.5852,9.21
344.21597,0.6652,10.53
344.75899,2.0769,33.85
344.83572,0.5935,9.34
345.06498,0.5027,7.84
345.07284,0.4429,6.85
345.08272,1.0668,17.16
345.08589,0.4255,6.57
345.09797,1.9462,31.69
345.10134,0.5101,7.96
345.10921,2.3205,37.87
345.11105,0.5031,7.85
345.11731,0.428,6.61
345.11911,1.7082,27.76
345.13436,3.7655,61.75
345.14559,1.6642,27.03
345.1555,0.6287,9.92
345.17075,2.205,35.97
345.20714,0.5882,9.26
345.22826,1.2995,21.01
346.08609,0.445,6.89
346.09322,1.4185,22.97
346.10445,1.8927,30.81
346.11258,0.4797,7.46
346.12961,1.9576,31.88
346.13772,0.775,12.34
346.14084,2.75,44.97
346.1489,0.4671,7.25
346.16598,0.7012,11.12
346.1741,0.5288,8.27
346.75695,2.1434,34.95
346.87869,0.5374,8.42
347.07724,1.6664,27.07
347.08062,0.4457,6.9
347.08847,2.6459,43.25
347.09031,0.4877,7.6
347.09836,0.6582,10.41
347.11362,5.8881,96.82
347.12485,6.0787,99.96
347.13295,0.4608,7.15
347.13477,0.5133,8.02
347.13609,0.4857,7.56
347.1442,0.4097,6.31
347.15001,6.8936,113.43
347.16124,1.7755,28.87
347.18639,2.1876,35.68
348.07249,0.9238,14.8
348.08372,0.9407,15.08
348.09182,0.5088,7.94
348.10887,2.9568,48.39
348.11698,1.0268,16.5
348.1201,4.7131,77.4
348.12821,1.0889,17.53
348.14526,2.5887,42.31
348.15337,1.2699,20.52
348.15649,1.9549,31.83
348.18164,0.674,10.67
348.7549,0.598,9.42
349.05651,0.7034,11.16
349.06774,0.8111,12.94
349.09289,4.7229,77.57
349.10412,8.5493,140.78
349.11223,0.5352,8.38
349.11536,0.4674,7.26
349.12347,0.9461,15.17
349.12928,11.3798,187.55
349.14051,5.975,98.25
349.14862,0.4615,7.16
349.16566,6.6445,109.31
349.17689,0.6867,10.88
349.20204,1.0316,16.58
350.08813,3.0605,50.1
350.09624,0.7784,12.4
350.09937,3.2791,53.71
350.10748,1.638,26.6
350.12452,5.002,82.18
350.13263,2.1816,35.58
350.13576,4.2965,70.52
350.14386,1.2835,20.74
350.1609,1.793,29.16
350.16901,1.4644,23.73
350.17215,0.5581,8.76
350.41144,0.4724,7.34
350.41216,0.4019,6.18
350.417,0.5868,9.23
350.41862,0.4178,6.44
350.42119,0.4006,6.16
350.42334,0.5547,8.7
350.42421,0.6812,10.79
350.42489,0.4877,7.59
350.42605,0.6847,10.85
350.42647,0.4195,6.47
350.42987,0.4676,7.26
350.43046,0.4399,6.81
350.43197,0.588,9.25
350.43249,0.4559,7.07
350.43334,0.4827,7.51
350.43571,0.4235,6.53
350.43881,0.4123,6.35
350.43926,0.5036,7.86
350.44112,0.4238,6.54
350.4429,0.5687,8.93
350.4433,0.4909,7.65
350.44389,0.5497,8.62
350.44438,0.4651,7.22
350.44579,0.4589,7.12
350.44613,0.4182,6.45
350.44663,0.4686,7.28
350.44777,0.5076,7.92
350.4496,0.4373,6.76
350.4516,0.4027,6.19
350.45494,0.5218,8.16
350.45676,0.4478,6.94
351.07215,2.9393,48.1
351.08338,4.7136,77.41
351.09149,0.7028,11.15
351.10273,0.7304,11.6
351.10854,13.0353,214.9
351.11977,12.9909,214.17
351.12025,0.4556,7.06
351.12788,0.9727,15.61
351.13099,0.6816,10.8
351.13911,0.9553,15.32
351.14492,14.8657,245.14
351.15615,3.1724,51.95
351.16424,0.4925,7.67
351.1813,3.7212,61.02
351.22108,0.4235,6.53
351.81724,0.4009,6.16
352.06739,1.4893,24.14
352.0755,0.5869,9.23
352.07862,0.5212,8.15
352.08674,0.9212,14.76
352.10378,6.844,112.61
352.11188,2.5042,40.91
352.11502,4.1783,68.57
352.12312,2.4679,40.31
352.14016,4.7252,77.6
352.14827,3.3978,55.67
352.1514,2.0286,33.05
352.15951,0.684,10.84
352.17655,0.7733,12.31
352.18465,0.7692,12.24
352.84889,0.6375,10.07
352.85821,0.4971,7.75
353.05143,0.7845,12.5
353.06267,0.4202,6.48
353.08782,9.3178,153.48
353.09905,9.4146,155.08
353.10715,1.2307,19.87
353.11839,0.6028,9.5
353.1242,19.3446,319.14
353.13544,7.762,127.78
353.14355,1.0348,16.63
353.14667,0.4668,7.25
353.14917,0.4837,7.53
353.16059,10.2854,169.47
353.17182,0.5763,9.06
353.19697,1.1721,18.9
353.21559,0.696,11.04
354.08145,0.4668,7.25
354.08306,3.5224,57.73
354.09117,1.5279,24.78
354.0943,0.9541,15.3
354.1024,1.5795,25.63
354.11945,5.8311,95.87
354.12756,3.4494,56.53
354.13068,1.7557,28.54
354.13879,1.3579,21.97
354.15584,1.9123000000000001,31.13
354.16394,1.9156,31.18
354.19222,0.4291,6.63
355.06708,2.4883,40.65
355.07832,1.15,18.54
355.08572,0.4005,6.15
355.08643,0.458,7.1
355.09693,0.5197,8.12
355.10346,11.828,194.95
355.11163,1.1448,18.45
355.11469,5.4039,88.82
355.11872,0.6613,10.46
355.12281,0.9478,15.2
355.12997,0.5551,8.71
355.13402,0.4497,6.97
355.13985,10.448,172.15
355.15108,1.2323,19.9
355.1551,1.2437,20.08
355.15849,0.5004,7.8
355.15918,0.441,6.82
355.1663,0.4311,6.66
355.17623,2.7808,45.48
355.19147,0.6359,10.04
355.19486,0.431,6.66
356.06233,0.5258,8.22
356.07043,0.4645,7.21
356.09872,2.6903,43.98
356.10186,0.4563,7.08
356.10682,1.7534,28.51
356.10996,0.636,10.05
356.11805,0.6723,10.64
356.12521,0.6774,10.73
356.1351,1.7987,29.25
356.14321,1.7849,29.03
356.17959,0.5736,9.01
356.2555,0.8506,13.59
357.04635,0.482,7.5
357.07467,0.4065,6.25
357.0762,0.6196,9.77
357.08273,3.9302,64.47
357.08589,0.5875,9.24
357.09396,0.8312,13.27
357.09799,0.837,13.37
357.10135,0.564,8.85
357.10207,0.4713,7.32
357.10867,0.469,7.29
357.10923,0.8782,14.05
357.11106,0.607,9.57
357.11911,6.7069,110.34
357.13035,1.2084,19.5
357.13437,1.6072,26.09
357.13845,0.4176,6.44
357.1456,0.9142,14.64
357.1555,2.5794,42.15
357.17076,1.1155,17.97
357.1919,0.4719,7.33
357.45817,0.4111,6.33
358.07799,0.4272,6.59
358.08608,0.8273,13.21
358.09662,0.4169,6.42
358.10447,0.7708,12.27
358.11437,1.0703,17.22
358.12247,1.3172,21.3
358.12961,0.645,10.19
358.13772,0.412,6.34
358.14086,1.5185,24.62
358.15075,0.4838,7.53
358.15886,0.459,7.12
358.166,0.4931,7.68
359.06201,0.5444,8.53
359.07724,0.8854,14.17
359.08061,0.7078,11.23
359.08849,0.9613,15.42
359.0903,0.4902,7.64
359.09184,0.6957,11.03
359.09838,2.7946,45.71
359.10155,0.7741,12.33
359.11364,2.8795,47.11
359.11701,0.5456,8.55
359.12487,2.8697,46.95
359.12671,0.5589,8.77
359.13476000000003,2.3898,39.02
359.15002,4.0287,66.1
359.16126,1.1867,19.14
359.18641,1.1431,18.42
360.07249,0.4936,7.69
360.07587,0.4251,6.56
360.08373,0.4923,7.67
360.10173,0.4956,7.72
360.10888,1.7317,28.15
360.11224,0.4652,7.22
360.11698,0.6832,10.82
360.12011,2.9703,48.61
360.12822,0.7175,11.39
360.13,0.3942,6.05
360.13811,0.4289,6.62
360.14527,1.7126,27.83
360.15337,0.6385,10.09
360.1565,1.8826,30.64
360.18164,0.5648,8.87
360.18976,0.4606,7.15
361.05653,0.5294,8.28
361.05988,0.4696,7.29
361.06774,0.5403,8.46
361.0711,0.4441,6.87
361.09049,0.4557,7.07
361.09289,3.3158,54.32
361.09626,0.8833,14.13
361.10413,4.6407,76.21
361.10597,0.4923,7.67
361.11223,0.4584,7.11
361.11403,0.9087,14.55
361.11535,0.4957,7.73
361.11719,0.5343,8.36
361.12928,8.6075,141.74
361.14051,4.3646,71.65
361.14863,0.4342,6.71
361.16567,5.3644,88.16
361.17688,0.612,9.65
361.20206,1.3782,22.31
361.22153,0.5524,8.66
361.22179,0.5186,8.1
361.22196,0.515,8.05
361.22318,35.8654,592.08
361.22461,0.4283,6.61
361.22494,0.5406,8.47
362.08814,1.8491,30.09
362.09624,0.5346,8.37
362.09938,2.9412,48.13
362.10749,0.7562,12.03
362.12453,3.7934,62.21
362.13264,1.8799,30.59
362.13576,4.9421,81.19
362.14387,0.8607,13.76
362.16091,2.0034,32.64
362.16902,1.2463,20.13
362.17214,0.8149,13
362.22653,6.6593,109.56
362.86963,0.418,6.44
362.9418,0.444,6.87
362.98737,0.4056,6.24
363.07216,1.9238,31.32
363.07553,0.5656,8.88
