"M_cal";"MF";"C";"H";"N";"O";"P";"S";"O/C";"H/C";"N/C";"S/C";"DBE";"AI";"NOSC";"n_occurrence";"BottomWater";"NPEqIW";"SRNOM";"U1382A";"U1383C_Deep";"U1383C_Middle";"U1383C_Shallow"
472.17333247857;"C25H28O9";25;28;0;9;0;0;0.36;1.12;0;0;12;0.2;-0.4;7;4.26861;4.02393;12.81377;5.36714;4.11338;4.89331;4.48755
472.19446184663;"C22H32O11";22;32;0;11;0;0;0.5;1.455;0;0;7;-0.4;-0.45;7;22.37259;22.16195;6.90756;15.15596;14.99106;16.11174;16.68901
472.20971798792;"C26H32O8";26;32;0;8;0;0;0.308;1.231;0;0;11;0.2;-0.62;2;0;0;6.26931;3.49801;0;0;0
472.23084735598;"C23H36O10";23;36;0;10;0;0;0.435;1.565;0;0;6;-0.3;-0.7;1;4.75475;0;0;0;0;0;0
473.11693980013;"C19H23NO13";19;23;1;13;0;0;0.684;1.211;0.0526;0;9;-1;0.32;1;0;0;0;0;4.27893;0;0
473.15332530948;"C20H27NO12";20;27;1;12;0;0;0.6;1.35;0.05;0;8;-0.7;0;1;5.79627;0;0;0;0;0;0
473.24722569624;"C19H39NO12";19;39;1;12;0;0;0.632;2.053;0.0526;0;1;-2;-0.63;1;0;0;0;0;10.95121;0;0
474.04344050563;"C21H14O13";21;14;0;13;0;0;0.619;0.667;0;0;15;0.2;0.57;1;0;0;19.68523;0;0;0;0
474.06456987369;"C18H18O15";18;18;0;15;0;0;0.833;1;0;0;10;-1.7;0.67;1;0;0;10.50975;0;0;0;0
474.07982601498;"C22H18O12";22;18;0;12;0;0;0.545;0.818;0;0;14;0.2;0.27;1;0;0;30.11664;0;0;0;0
474.0831973183;"C19H22O12S";19;22;0;12;0;1;0.632;1.158;0;0.0526;9;-0.7;0.21;1;0;0;0;0;4.7863;0;0
474.10095538304;"C19H22O14";19;22;0;14;0;0;0.737;1.158;0;0;9;-1;0.32;6;11.67208;0;17.47016;8.22974;9.52827;8.32451;7.97594
