

Dataset: BottomWater.csv

Pre-alignment:

Start ppm error: 2.50000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
573.67019500,-0.127321629309968,0.119322267651067,-0.00069777,0.03975640,604
578.10263500,-0.138240470847313,0.138023810007819,0.00125432,0.04044839,594
582.13672500,-0.154947731069506,0.120291332512767,-0.02069830,0.04560059,590
586.62443500,-0.153550873747912,0.119203390418751,-0.01890022,0.04205774,630
591.15263000,-0.118066419899661,0.085346112069406,-0.01922385,0.03438412,640
595.67908000,-0.117578429818172,0.151021645855726,0.01439797,0.04258169,615
600.17925500,-0.100077594199447,0.166510270328519,0.03040054,0.04215735,610
604.68797000,-0.104683258596948,0.130126315117533,0.01299381,0.03836923,622
609.64653500,-0.123917729451145,0.118693426046419,-0.00710083,0.03960570,602
614.18236000,-0.14677133807207,0.113861334772547,-0.02106550,0.04152619,626
618.72753000,-0.134245992666038,0.094474261594769,-0.01973336,0.03838396,652
624.19508000,-0.128004889841761,0.127985957936493,0.00386859,0.03907814,619
629.19681500,-0.140278019888429,0.148904435441953,0.00597722,0.04156774,575
633.75000000,-0.105192971571952,0.113807739941745,0.00137516,0.03728945,603
638.76731500,-0.125649218333691,0.125446708294079,0.00081527,0.04243126,574
644.24743500,-0.139220761426705,0.108420766848938,-0.01005628,0.04111529,642
650.25397000,-0.138707094226696,0.107870055467816,-0.01307094,0.04096872,600
656.30858000,-0.121984630798494,0.121653575784213,-0.00118644,0.04169912,608
663.24766500,-0.128155878824721,0.173247470474775,0.02077408,0.04913561,633
670.20256500,-0.119864273662108,0.119827826786008,0.00238261,0.04182805,583
677.19384500,-0.160071447070285,0.108794299187505,-0.02385657,0.04504881,619
684.67982000,-0.167655600809875,0.123975768041265,-0.01932410,0.04753726,600
691.76239500,-0.173920360229822,0.173543960511839,-0.00266957,0.05490553,621
699.26747500,-0.142928546359535,0.200020958637755,0.03248979,0.05518059,636
707.24476000,-0.191705228852799,0.205516054240929,0.00600765,0.06248362,609
715.24706000,-0.148400009638654,0.134930852441499,-0.00354654,0.04980112,623
723.74058000,-0.142065962164885,0.163178462831842,0.01450605,0.05050140,614
732.23479000,-0.129617909726919,0.143198123635096,0.00408095,0.04717421,653
740.23582500,-0.152988962120548,0.146501568313292,-0.00660632,0.05006567,624
747.73562000,-0.160699862473096,0.160625717639988,0.00149004,0.05068294,580
755.24107500,-0.171849894510886,0.145545817492423,-0.00936579,0.05147601,606
764.22819000,-0.170421316878432,0.144094269142405,-0.01507223,0.05458316,622
772.75807000,-0.155727847249007,0.155556386847745,-0.00064718,0.05398747,639
780.78867000,-0.259971944435086,0.36487571280241,0.05281326,0.09195302,641
788.71739000,-0.194962254433836,0.290933058349692,0.04844299,0.08064510,634
795.73249500,-0.589239899434976,0.413924692448017,-0.08323146,0.13242420,594
802.73874500,-0.326845242085496,0.19597943002204,-0.07010243,0.08318023,640
809.78404500,-0.173381418826899,0.222660083870504,0.02448475,0.06674505,620
816.31984500,-0.163207963750436,0.206748931151936,0.02304277,0.05792081,606
822.75114500,-0.206766272498256,0.182456869151014,-0.00602318,0.06213102,580
829.20874500,-0.192520112888078,0.145219728177754,-0.02520768,0.05771341,639
835.25195500,-0.203290030648446,0.179182549476386,-0.01227761,0.06100365,612
840.82062000,-0.175929824221605,0.229899311056142,0.02812666,0.06226145,592
846.25021500,-0.1913991816691,0.209599512766613,0.00473225,0.06483089,591
852.17840500,-0.228596611283344,0.193510521896636,-0.00823614,0.06733956,583
857.27972500,-0.205608850330552,0.234967517782714,0.00531278,0.06544761,594
862.83176500,-0.154240980013954,0.195302200729762,0.01991573,0.05672766,616
869.25830000,-0.226032051977234,0.301331388181983,0.03314915,0.08582316,608
874.75948500,-0.189203049517764,0.223498472902056,0.01330713,0.06903468,594
880.35115500,-0.300002345904603,0.252755785319299,-0.02392607,0.09068781,612
886.36165500,-0.253253060779025,0.151836070907728,-0.04922989,0.06376023,638
892.78293000,-0.179784305477548,0.179640022705314,-0.00196796,0.06193772,611
898.76920000,-0.183864690876614,0.217190473571661,0.01380152,0.06414419,590
904.25336000,-0.195138007840021,0.223255209338166,0.01160405,0.06458206,592
909.79604000,-0.3208656429145,0.22771002819505,-0.05127147,0.08413095,556
915.34045000,-0.233370897195973,0.184367171410428,-0.03045554,0.06751787,596
921.83809000,-0.265358961898132,0.297784958003707,0.01936426,0.08639714,599
928.81348500,-0.166541613140401,0.264306396014587,0.04512798,0.06658812,599
935.78987000,-0.254099681162052,0.28125704916178,0.01640465,0.07812142,574
942.84270000,-0.289131777344812,0.31269531992861,0.00154582,0.08312528,573
951.34825000,-0.383686928696335,0.263708103206914,-0.06268245,0.09460870,597
961.82456000,-0.271129363300504,0.295195963525858,0.00564195,0.08873563,605
973.31525000,-0.229310400112711,0.354953106453603,0.05184722,0.08879134,619
985.34527500,-0.300705406208121,0.212729579000636,-0.04166485,0.08254234,628
998.35312000,-0.216548688670057,0.226374124954438,0.00414203,0.07481210,620
1013.30381000,-0.236039287433043,0.236536465641388,0.00191361,0.07728429,624
