m/z,I,S/N,Res.
320.07756,2.312,18.03,2175989
320.08567,2.4692,19.27,2259035
320.11394,1.8063,14.07,2019213
320.12205,2.8531,22.28,2321494
320.23458,2.3251,18.14,2303731
320.92274,2.2167,17.29,2554976
321.0252,7.0344,55.07,2356402
321.04045,2.0179,15.73,2457280
321.06159,17.5751,137.75,2420364
321.07685,2.1609,16.85,2447029
321.09798,22.9793,180.13,2406161
321.11323,1.5602,12.14,2474741
321.13436,15.538,121.77,2372941
321.17074,3.314,25.89,2324557
321.17412,1.198,9.3,2155568
321.21051,2.2467,17.52,1925126
322.02857,1.2145,9.43,2114273
322.05684,2.3833,18.59,2349429
322.06494,3.2304,25.24,2227556
322.09322,3.1372,24.51,2367331
322.10132,3.9141,30.6,2481418
322.13771,3.0307,23.67,2289502
322.8383,1.359,10.56,2363130
322.89635,1.4847,11.55,1686273
323.00446,1.1912,9.24,2373064
323.01973,1.7668,13.76,2281638
323.04085,12.9579,101.53,2305172
323.05611,3.3207,25.95,2366873
323.07724,28.0145,219.63,2409004
323.09249,2.3089,18.01,2521541
323.11363,32.1378,251.97,2423652
323.12888,1.3676,10.63,2039611
323.15001,10.2569,80.35,2342154
323.16528,1.3344,10.37,2006041
324.04422,1.6775,13.06,1786630
324.07248,3.0319,23.68,2289886
324.0806,4.1692,32.6,2341103
324.10888,1.8254,14.22,2290465
324.11699,5.4796,42.88,2223570
324.15337,1.7215,13.4,2358508
324.85397,1.2654,9.83,2417364
324.89431,1.2596,9.78,1810027
325.02012,3.9273,30.7,2195966
325.03537,3.6115,28.23,2484790
325.05651,20.9367,164.11,2331264
325.07176,4.6955,36.73,2371313
325.09289,40.7078,319.18,2390891
325.10815,3.0095,23.51,2533562
325.12928,23.9772,187.96,2368968
325.14453,2.2935,17.89,2112926
325.16566,3.4981,27.34,2280293
325.18091,1.2421,9.64,1041887
325.18429,4.9091,38.4,2285383
326.05176,1.2588,9.77,2522087
326.05986,3.9638,30.99,2397565
326.06701,1.2228,9.49,1524585
326.07511,1.2609,9.79,2147410
326.08814,2.2316,17.4,2368797
326.09625,6.885,53.9,2270229
326.13263,4.21,32.92,2206244
326.18763,1.4554,11.32,1893471
327.01464,2.5138,19.62,2292523
327.03577,9.3796,73.47,2394276
327.05102,6.9558,54.46,2365677
327.06409,1.1968,9.29,2124028
327.07216,30.344,237.9,2431449
327.08741,6.9539,54.44,2428714
327.10854,35.3578,277.22,2390299
327.1238,4.6898,36.68,2186273
327.14493,9.1806,71.91,2418399
327.16018,2.5385,19.81,2343450
328.03911,1.8825,14.67,2205767
328.04628,1.5821,12.31,2289750
328.05438,1.7101,13.31,2237602
328.06741,1.6217,12.62,1881989
328.07551,5.0834,39.77,2273003
328.08266,1.7753,13.83,2155705
328.11189,5.8624,45.88,2289493
328.12713,1.4869,11.56,1976786
328.14829,1.4806,11.51,1841931
328.80441,1.9321,15.05,2033332
328.82212,1.5873,12.35,1672047
329.01502,1.3189,10.25,2391775
329.03029,5.2505,41.08,2286073
329.05142,11.9521,93.64,2323055
329.06667,9.9704,78.1,2344266
329.07006,1.6613,12.93,2074411
329.07974,1.5765,12.27,2150112
329.0878,20.6536,161.89,2395721
329.10306,9.0172,70.63,2351442
329.10642,1.2635,9.81,2366439
329.12419,10.5372,82.55,2306532
329.13945,5.6605,44.3,2330259
329.16059,1.3324,10.35,1492453
329.17583,2.3501,18.33,1992985
330.05477,1.6818,13.09,2413826
330.06193,1.9586,15.26,2253614
330.07003,1.8466,14.38,2203569
330.09116,2.8072,21.92,2372604
330.09832,1.6403,12.77,2078866
330.1064,1.787,13.92,2080715
330.12754,2.1888,17.07,1888479
330.1428,1.2277,9.53,2699566
330.82008,3.3053,25.83,2520610
331.00956,2.4205,18.89,2477639
331.03068,1.2651,9.82,2590681
