m/z,I,S/N,Res.
317.17579,0.7836,19.79,2349902
317.18691,0.442,11.12,4782992
317.18731,0.4096,10.3,2703251
317.21236,0.4059,10.2,1996266
317.21551,0.4491,11.3,1555242
317.33829,0.4389,11.04,1260731
318.09828,0.6349,16.01,2186847
318.10951,0.7367,18.6,2291090
318.13466,0.6599,16.65,2344108
318.14275,0.505,12.72,1811173
318.14587,0.4502,11.33,2374628
318.92009,0.494,12.44,2486099
319.08229,0.7236,18.26,2524281
319.09351,1.5147,38.34,2363780
319.11867,2.0518,51.97,2185874
319.12991,1.8178,46.03,2374438
319.15505,2.1643,54.82,2392826
319.19145,0.5068,12.77,2669880
319.23495,0.4134,10.4,1418755
320.08876,0.5565,14.03,2618893
320.11392,1.3415,33.94,2337789
320.12515,1.7225,43.61,2416369
320.15031,0.7048,17.79,1874956
320.1584,0.5166,13.01,2185709
320.92272,0.6328,15.96,2453040
321.06156,0.43120000000000003,10.84,2516742
321.07281,0.6786,17.12,2550923
321.09796,2.1853,55.35,2400503
321.10919,5.0954,129.2,2527661
321.13434,3.7985,96.29,2452467
321.14558,1.6563,41.93,2227383
321.17072,1.877,47.53,2457287
322.0932,1.79,45.32,2334479
322.10444,1.7818,45.12,2347173
322.11255,1.0299,26.04,2279823
322.12958,1.7156,43.44,2363177
322.13769,0.738,18.63,2421216
322.14082,1.334,33.75,2472311
322.16599,0.4275,10.75,2111665
322.17409,0.4472,11.25,2475369
322.83828,0.7113,17.95,2689348
322.89632,0.4838,12.18,2423310
323.07723,1.3729,34.74,2374743
323.08845,2.3346,59.14,2348835
323.11361,4.1367,104.87,2403662
323.12484,4.8981,124.19,2382628
323.14999,3.1266,79.24,2355050
323.16122,0.4504,11.33,2503878
323.18638,0.6622,16.71,2268285
324.07246,0.7459,18.83,2406222
324.09181,0.4428,11.14,2144295
324.10886,2.0341,51.52,2256021
324.11697,0.804,20.31,1789586
324.12008,1.157,29.26,2331885
324.1282,0.8002,20.21,2604281
324.14524,0.801,20.23,2263947
324.15334,0.6855,17.3,2327238
324.85393,0.6784,17.12,2638674
324.89429,0.5344,13.47,2229895
325.05648,0.5323,13.41,2131153
325.06773,0.4987,12.56,2143630
325.09287,2.9283,74.21,2351625
325.1041,3.1312,79.36,2343179
325.1122,0.4204,10.57,2054810
325.12926,3.8276,97.02,2365025
325.14049,1.6676,42.22,2334534
325.1445,0.4043,10.16,2623074
325.16564,1.2206,30.88,2485739
325.18427,2.49,63.09,2314223
326.08811,1.1206,28.34,2336039
326.09621,0.4674,11.76,2535955
326.09936,0.4941,12.44,2166720
326.10745,0.5531,13.94,2317093
326.1245,1.3638,34.51,2391375
326.13261,0.8429,21.29,2239620
326.13573,0.5341,13.46,2619393
326.18763,0.5308,13.37,1105401
326.80644,0.9155,23.13,2463224
326.85189,0.5325,13.42,2641256
327.07214,1.1582,29.29,2485967
327.08336,0.624,15.74,2233743
327.10851,3.592,91.05,2439128
327.11975,1.4177,35.88,2387704
327.12377,0.5497,13.85,2432501
327.14491,1.8491,46.82,2298652
327.16016,0.808,20.41,2319781
