m/z,I,S/N,Res.
323.11363,14.2813,260.14,2451375
323.12486,3.0803,55.82,2424788
323.12889,0.5835,10.27,1984898
323.13296,0.4139,7.18,1904991
323.15001,6.9421,126.26,2438431
323.1864,0.8645,15.4,2172494
324.07249,1.3567,24.38,2470985
324.08059,0.8842,15.76,2043426
324.10887,4.265,77.43,2479749
324.11698,2.3337,42.2,2207181
324.12012,0.3776,6.51,2489187
324.12821,0.4875,8.52,2490330
324.14526,1.1475,20.56,2604552
324.15336,1.1446,20.51,2493195
325.05651,1.1129,19.93,2147160
325.07513,0.4056,7.03,2224699
325.09289,10.4428,190.12,2377148
325.10413,1.5534,27.96,2455191
325.10815,0.7651,13.58,2569585
325.11224,0.7287,12.92,2359221
325.12928,12.6558,230.49,2412620
325.14051,1.0584,18.93,2268223
325.14452,0.7151,12.67,2310302
325.16566,2.551,46.16,2225244
325.18429,2.7564,49.91,2432340
326.05174,0.383,6.61,2053275
326.08814,2.1512,38.87,2301364
326.09625,1.8073,32.6,2381897
326.12452,2.7617,50,2366338
326.13263,2.5436,46.03,2354879
326.16902,0.5216,9.14,2047505
326.18765,0.657,11.61,2091936
327.0544,0.6211,10.96,2510512
327.07216,3.1902,57.82,2359797
327.08339,0.4162,7.22,2604490
327.08741,0.9884,17.66,2598154
327.09077,0.6013,10.6,2258865
327.0915,0.4094,7.09,2370204
327.09864,0.6062,10.69,1757631
327.10854,13.0307,237.33,2347167
327.11977,0.7907,14.05,2491632
327.1238,1.7552,31.64,2360987
327.12788,0.5055,8.85,2402969
327.14493,6.1387,111.61,2388980
327.16018,1.1867,21.27,2479257
328.07552,0.4946,8.65,2434807
328.08266,0.5835,10.27,2492530
328.10379,1.6799,30.27,2444353
328.11189,2.2946,41.48,2309734
328.11905,0.6888,12.19,2471314
328.12718,0.4085,7.08,1981094
328.14018,0.6725,11.89,2487910
328.14828,1.0089,18.03,2348788
329.05142,0.436,7.58,2365414
329.06667,0.9334,16.65,2197152
329.07004,0.9709,17.34,2208088
329.07791,0.571,10.04,2139925
329.0878,3.6099,65.48,2360055
329.10306,2.5212,45.62,2411232
329.10643,0.7142,12.66,2662904
329.11429,0.8625,15.36,2261735
329.12238,0.4192,7.27,1741956
329.12419,5.1358,93.31,2313636
329.13944,2.7032,48.94,2332965
329.15068,0.5023,8.79,2333131
329.16058,1.0756,19.25,2369613
329.17583,0.9789,17.48,2247904
330.06529,0.5104,8.94,2114199
330.09117,0.7313,12.97,1803331
330.0983,1.0767,19.27,2280914
330.10641,0.4675,8.15,2472410
330.12755,0.8622,15.35,2121692
330.13469,0.7061,12.51,2320124
330.1428,0.5963,10.5,2621764
330.14591,0.4124,7.15,1777243
331.04931,0.49370000000000003,8.63,2220300
331.08233,2.0806,37.58,2314189
331.08569,1.3838,24.87,2183713
331.09356,0.8844,15.76,2308556
331.09539,0.4593,8,2034532
331.10346,1.3864,24.92,2322025
331.11871,5.2764,95.88,2315655
331.12209,0.6414,11.33,2552005
331.12995,1.1607,20.8,2237932
331.13984,1.0746,19.23,1964025
331.1551,3.3966,61.59,2245587
331.19149,0.5405,9.49,2328574
332.07757,0.9656,17.24,2407137
332.08095,0.582,10.24,2172502
332.11396,2.0385,36.81,2281148
332.12206,1.062,19,2461039
332.12519,0.5457,9.58,2654026
332.15034000000003,0.6545,11.57,2480375
332.15846,0.7101,12.58,2339259
332.89331,0.4142,7.18,2002075
332.89776,0.4362,7.58,1299645
332.99511,0.578,10.17,2342571
333.01536,0.3914,6.77,1725503
333.0158,0.4124,7.15,1162251
333.02131,0.4297,7.46,2689427
333.0221,0.4068,7.05,1849110
333.0281,0.3921,6.78,1945006
333.02964,0.5001,8.75,1743097
333.03516,0.4156,7.21,1981741
333.03957,0.3921,6.78,1699599
333.06159,1.2563,22.54,2383260
333.06497,1.097,19.64,2297719
333.07281,0.7716,13.7,2401720
333.07468,0.4679,8.16,1985463
333.09798,6.9986,127.29,2288941
333.10135,1.1648,20.87,2104608
333.10921,2.5035,45.3,2410724
333.11103,0.612,10.79,1934450
333.11731,0.4287,7.45,1773920
333.13436,9.9668,181.44,2334784
333.1456,1.0758,19.25,2371797
333.17075,3.382,61.32,2353295
333.2071,0.383,6.61,1975129
334.05685,0.4619,8.05,2222622
334.06494,0.4141,7.18,1156425
334.09322,2.8277,51.21,2341242
334.10133,1.3022,23.38,2269727
334.10446,0.6506,11.49,2084539
334.11256,0.4932,8.62,2511831
334.12961,2.567,46.45,2329272
