m/z,I,S/N,Res.
305.1143,2.1103,43.77,2524620
305.13945,1.738,36.02,2446011
305.15069,0.3981,8.16,2908957
305.17584,0.8115,16.76,2311526
305.57423,0.433,8.89,1895805
306.09831,0.6298,12.98,2538955
306.10955,1.1527,23.85,2725248
306.11766,0.5614,11.56,2038190
306.1347,0.6874,14.18,2463813
306.14594,0.4321,8.87,2774707
307.08233,0.8902,18.4,2867038
307.09356,2.0903,43.35,2678387
307.11872,2.138,44.34,2595891
307.12995,2.7561,57.2,2490777
307.1551,1.5729,32.59,2348886
307.19149,0.4268,8.76,2448059
308.07756,0.5865,12.08,2497093
308.08881,0.5127,10.55,2429794
308.09692,0.4436,9.11,2174951
308.11396,1.4825,30.71,2624482
308.12207,0.4283,8.79,2904454
308.12519,1.3397,27.74,2592961
308.1333,0.5009,10.3,1858078
308.15036,0.4889,10.05,2821885
308.89939,0.4476,9.19,2631859
309.06158,0.4573,9.39,2350788
309.07283,0.6158,12.69,2398201
309.09798,2.028,42.06,2544623
309.10921,3.8639,80.23,2508195
309.13436,2.121,43.99,2464319
309.1456,1.2484,25.84,2412529
309.153,0.9483,19.6,2412423
309.17075,0.82,16.93,2537536
310.09322,1.1575,23.95,2366275
310.10446,0.763,15.75,2666388
310.11256,0.5775,11.89,2417312
310.12961,0.8323,17.19,2261497
310.13773,0.4812,9.89,1726921
310.14083,0.4965,10.21,2096072
310.83831,0.4279,8.78,2995110
311.07723,0.9051,18.71,2520307
311.08848,1.0606,21.94,2551379
311.11363,1.8631,38.63,2376426
311.12486,1.5285,31.67,2650925
311.15001,1.0567,21.86,2177422
311.16221,0.8279,17.1,114055
311.16235,0.8241,17.02,456592
311.16475,4.9232,102.26,221711
311.16727,1.8324,37.99,143976
311.16746,1.7904,37.11,435857
311.16864,80.6953,1677.89,2457826
311.16979,0.838,17.31,1950277
311.16995,0.6861,14.15,516253
311.17217,0.6107,12.58,714997
311.17521,0.5122,10.53,818502
312.10888,0.8275,17.09,2688871
312.16802,0.8188,16.91,2195241
312.17052,0.4779,9.82,313982572
312.17077,0.4717,9.69,1097826
312.17098,0.4565,9.38,335665
312.17199,15.0711,313.28,2447904
312.17492,0.4205,8.63,2405305
313.09289,1.4904,30.88,2451671
313.10413,0.7201,14.86,2643175
313.11938,0.5779,11.9,2486738
313.12928,1.2772,26.44,2400080
313.14452,0.8213,16.96,2288891
313.16443,4.0377,83.84,2436489
313.17289,0.5722,11.78,2543745
313.17535,1.3594,28.15,2316921
313.18092,0.4733,9.73,2232603
314.08814,0.4816,9.9,2304753
314.16778,0.8467,17.49,2250352
314.80645,0.4091,8.39,3297564
315.07214,0.5569,11.47,2459775
315.08743,0.5002,10.29,2108534
315.09863,0.4198,8.61,2162194
315.10852,1.1502,23.8,2377355
315.12379,0.9949,20.57,2249543
315.13502,0.6358,13.11,2440042
315.14492,0.6022,12.41,2263121
315.16018,1.0251,21.2,2500986
316.11904,0.4792,9.85,2627737
316.13028,0.562,11.57,2059686
316.15544,0.4456,9.15,2740516
316.80443,0.5588,11.5,2418336
317.10306,0.8772,18.12,2085960
317.11429,1.1545,23.89,2597619
317.13945,1.3384,27.72,2444909
317.15068,0.7104,14.66,2136789
317.17582,0.6962,14.36,2382933
317.18705,0.4163,8.54,2533590
317.20144,0.4959,10.2,1415441
317.20496,0.4093,8.4,2102757
317.20593,0.4141,8.49,2850992
317.20615,0.4484,9.21,2899696
317.20814,0.4014,8.23,1208155
317.21163,0.6313,13.01,2076947
317.21475,0.4338,8.91,2563431
317.21735,0.5479,11.28,1792772
317.21867,0.3974,8.15,2593374
317.22034,0.548,11.28,2136479
317.22382,0.5395,11.1,1506454
317.23435,0.421,8.64,1978632
318.09832,0.5508,11.34,2416683
318.10954,0.9618,19.88,2116342
318.13469,0.6952,14.34,2544462
318.14592,0.6168,12.71,2498073
319.08232,0.8965,18.53,2117906
319.09356,1.8459,38.27,2539992
319.11871,2.0486,42.48,2477340
319.12994,2.0982,43.52,2403354
