m/z,I,S/N,Res.
308.13334,0.5052,13.8,2043905
308.15038,0.7968,21.8,2108003
308.1585,0.468,12.79,2027877
308.84037,0.7006,19.16,2534953
308.85908,0.8525,23.32,2578189
308.89944,1.0346,28.32,2341727
309.06161,0.6309,17.25,1889552
309.07286,0.5858,16.01,2575146
309.09801,2.1904,59.99,2451003
309.10924,3.3649,92.18,2496836
309.13439,2.2078,60.47,2457192
309.14563,1.3489,36.93,2301437
309.15302,0.7116,19.46,2538250
309.17078,0.9843,26.94,2602525
309.17415,2.0747,56.82,2382733
310.09326,1.1669,31.94,2361277
310.12964,0.829,22.68,2378738
310.13776,0.4985,13.62,2441199
310.14088,0.5208,14.23,2148634
310.83834,0.9968,27.28,2435865
311.07728,0.8882,24.3,2232718
311.0885,0.8868,24.27,2317309
311.11366,2.2523,61.69,2284129
311.1249,1.3292,36.39,2386935
311.15004,0.9594,26.25,2080740
311.16746,0.6312,17.26,525137
311.16867,37.316,1022.7,2479226
311.17239,0.6568,17.96,720874
312.10891,0.7091,19.4,2974260
312.17203,6.8398,187.42,2472091
312.83629,0.5906,16.15,2789155
313.09292,1.5298,41.89,2178669
313.10416,0.6336,17.32,2250656
313.10818,0.5523,15.1,2471437
313.1293,1.4045,38.45,2383129
313.14455,0.6748,18.45,2027405
313.16447,1.7725,48.54,2447677
313.17538,0.877,24,2173366
313.23846,0.6494,17.76,1525515
314.12456,0.5068,7.83,1775378
314.13981,0.5161,7.98,2268246
314.7888,0.5509,8.53,2773357
315.08745,0.5991,9.3,2238330
315.10857,0.9072,14.24,2443063
315.12382,1.1246,17.72,2351501
315.13506,0.9385,14.74,2469754
315.16022,1.0396,16.36,2496405
315.19659,0.4783,7.37,1964572
316.11909000000003,0.6558,10.21,2550255
316.13029,0.7307,11.41,2070411
316.92221,0.5315,8.22,2258024
317.10309,1.1164,17.59,2453348
317.11432,1.315,20.77,2264337
317.13947,2.1119,33.53,2287082
317.15071,0.654,10.18,2356525
317.17586,0.8516,13.35,2306597
317.2132,0.471,7.25,2035330
317.21377,0.599,9.3,1778074
317.21854,0.4613,7.1,1963353
