m/z,I,S/N,Res.
333.85068,0.8602,12.18,2470141
334.05685,0.6747,9.51,2248195
334.09323,3.1668,45.33,2474609
334.10134,1.2005,17.07,2286448
334.10446,1.5475,22.06,2330355
334.11257,0.8527,12.07,2322244
334.12961,3.4156,48.91,2279095
334.13772,2.1628,30.9,2269973
334.14084,1.5287,21.79,2266342
334.166,1.1005,15.63,2271476
334.1741,1.2346,17.56,2251716
334.76963,1.2981,15.76,2293575
334.77053,3.7136,46.1,2451826
334.93839,1.0909,13.16,2488843
335.04085,0.8942,10.69,2024907
335.07724,6.5619,81.88,2348649
335.08061,1.1357,13.73,2077740
335.08847,4.7035,58.54,2391681
335.09657,0.5235,6.04,2526280
335.11362,19.0694,238.98,2394219
335.12486,6.917,86.34,2366079
335.13297,0.6277,7.34,2895954
335.15001,17.1513,214.88,2353750
335.16124,1.2966,15.75,2155246
335.1864,3.7236,46.23,2405676
336.07249,3.2122,39.81,2274984
336.0806,1.1087,13.39,2230834
336.08373,0.9041,10.82,2156603
336.09182,0.7075,8.35,2193766
336.10888,6.7654,84.44,2404122
336.11698,3.1538,39.07,2350127
336.12011,2.7214,33.64,2242636
336.12822,1.2569,15.25,2167283
336.14526,3.1807,39.41,2254874
336.15336,3.0787,38.13,2315408
336.15649,0.6129,7.16,2279565
336.18165,0.5861,6.82,1922762
336.18974,0.6853,8.07,2405107
336.24047,0.5226,6.03,2055750
336.76759,2.1729,26.75,2380188
336.7685,1.6831,20.6,2358859
337.05651,3.3509,41.55,2278496
337.06774,1.458,17.77,2450757
337.07586,0.5778,6.72,2073092
337.09289,20.7079,259.55,2306473
337.09625,0.5177,5.96,2246224
337.10413,10.6759,133.55,2328051
337.11223,1.1759,14.23,2214570
337.12928,30.7277,385.41,2324378
337.14051,5.1647,64.33,2268725
337.14862,0.6304,7.38,2041287
337.16567,12.9187,161.72,2297326
337.20205,1.3496,16.41,2296402
338.05177,0.8234,9.8,2333062
338.05986,0.6187,7.23,1878252
338.08815,9.0135,112.67,2313495
338.09625,3.9413,48.96,2349135
338.09938,1.6161,19.76,2270340
338.10749,1.8656,22.89,2533209
338.12453,8.227,102.79,2335382
338.13263,5.8767,73.27,2271341
338.13576,1.7535,21.49,1994686
338.14387,1.035,12.46,2308253
338.16091,1.9767,24.29,2116223
338.16902,2.9226,36.17,2311586
338.76554,1.3748,16.73,2353311
338.88732,1.747,21.4,2167935
338.9333,0.534,6.17,2626427
339.03577,0.9522,11.42,2270711
339.07216,14.1697,177.43,2301424
339.08339,4.5931,57.15,2351206
339.08742,0.574,6.67,1818082
339.09077,0.5154,5.93,2559892
339.0915,1.8562,22.77,2000550
339.09714,0.517,5.95,1815174
339.10047,0.5041,5.79,1159387
339.107,0.9754,11.71,429699
339.10855,44.5449,558.95,2372182
339.10969,0.5134,5.91,1777269
339.11978,10.1034,126.36,2246817
339.12788,1.4261,17.37,2494448
339.13354,0.7429,8.79,2312080
339.13601,0.6046,7.06,2414400
339.14493,27.8519,349.28,2344747
339.14667,0.5392,6.23,639575
339.15616,1.4659,17.87,2158600
339.16019,6.2834,78.38,2237778
339.16426,0.649,7.61,1858476
339.18131,5.2882,65.88,2311501
339.19994,2.2711,27.99,2246138
340.03897,0.7634,9.05,2063178
340.06741,3.8881,48.3,2396840
340.07551,2.3608,29.11,2291698
340.08674,0.8002,9.51,2577655
340.10379,12.1849,152.5,2252972
340.11189,7.8773,98.4,2317249
340.11502,1.56,19.05,2345669
340.12313,1.6426,20.09,2240649
340.14017,4.673,58.15,2306096
340.14828,5.5175,68.76,2338649
340.16354,1.0535,12.69,2637407
340.17656,0.5916,6.89,2145454
340.18467,0.9083,10.87,2288752
340.20329,0.6417,7.52,2167777
340.88526,3.1874,39.49,2348364
341.05142,3.9181,48.67,2334436
341.06263,0.5187,5.98,1433775
341.07077,0.7196,8.5,2096683
341.08781,28.7975,361.16,2288696
341.09904,4.8733,60.67,2295815
341.10305,0.9345,11.2,2330704
341.10714,2.0892,25.7,2210796
341.11278,0.8072,9.6,2239762
341.11526,0.587,6.83,2098706
341.1187,0.5563,6.45,3014141
341.12419,37.238,467.17,2336576
341.13542,3.0849,38.21,2263968
341.13944,1.1624,14.06,1947132
341.14353,0.8441,10.06,2173585
341.15068,0.5884,6.85,1871305
341.15165,0.6183,7.23,1941083
341.16058,10.4615,130.86,2361421
341.17583,0.7571,8.97,1923965
341.19695,0.9854,11.84,1656687
341.46574,0.5172,5.96,1127406
342.05477,0.7609,9.02,2137314
342.0653,0.5657,6.57,2345430
342.08305,5.3164,66.24,2300657
342.09116,4.2492,52.83,2465308
342.0983,0.4978,5.71,2146969
342.10239,0.7348,8.69,1862304
