m/z,I,S/N
324.85397,0.4647,7.71
324.89035,0.5143,8.56
325.05651,1.1611,19.6
325.06775,0.4871,8.09
325.09289,9.4056,160.34
325.10413,3.6727,62.48
325.10815,0.4828,8.02
325.11223,0.8194,13.77
325.12928,12.7914,218.14
325.14051,1.7592,29.81
325.16566,3.3265,56.57
325.18429,5.1519,87.73
325.20206,0.4732,7.86
326.08814,2.6579,45.15
326.09624,1.6735,28.35
326.0994,0.4738,7.87
326.10748,0.5956,9.95
326.12453,3.015,51.25
326.13264,2.4517,41.63
326.16902,0.763,12.8
326.18765,1.3416,22.68
326.80648,0.4945,8.22
327.07216,3.3052,56.2
327.08339,0.936,15.76
327.08741,0.661,11.06
327.09077,0.5947,9.93
327.10854,11.0284,188.04
327.11978,1.8689,31.68
327.12379,1.1964,20.2
327.12788,0.516,8.59
327.13503,0.5993,10.01
327.14493,5.5896,95.2
327.16019,1.0255,17.28
327.18131,0.6347,10.61
327.19656,0.519,8.64
328.0674,0.4923,8.18
328.07551,0.5411,9.02
328.10379,1.976,33.51
328.1119,1.8921,32.08
328.11906,0.5157,8.58
328.14017,0.7244,12.14
328.14828,1.2431,21
328.76408,0.6211,10.38
328.80442,0.838,14.08
328.82212,1.0591,17.86
328.84081,0.4241,7.02
328.89885,0.6507,10.89
329.0514,0.4556,7.56
329.06668,0.591,9.87
329.07004,0.5722,9.55
329.07789,0.4476,7.42
329.08781,3.5625,60.59
329.10306,1.5415,26.09
329.10642,0.5987,10
329.1143,0.8404,14.12
329.12419,4.5528,77.5
329.13945,2.3675,40.19
329.15067,0.556,9.27
329.16058,0.9639,16.23
329.17583,1.28,21.63
330.08305,0.5553,9.26
330.09117,0.5112,8.51
330.09832,0.7172,12.02
330.10953,0.4852,8.06
330.12754,0.6828,11.43
330.13469,0.6782,11.36
330.76204,0.4502,7.46
330.82008,1.7662,29.93
330.89591,0.5285,8.8
330.89681,0.6526,10.92
331.06708,0.7037,11.79
331.08233,1.445,24.45
331.08568,0.595,9.94
331.09356,1.2074,20.39
331.09539,0.5977,9.98
331.10345,1.5978,27.06
331.11871,4.1101,69.94
331.12995,1.2783,21.6
331.13985,0.6622,11.08
331.1551,3.825,65.07
331.19149,1.0122,17.06
331.85365,0.5582,9.31
332.07757,0.7846,13.17
332.11396,1.8022,30.54
332.12207,1.0702,18.05
332.12519,1.2966,21.91
332.15034000000003,1.0729,18.09
332.15845,0.9712,16.36
332.77258,1.4946,25.29
332.81713,0.7397,12.41
332.81804,0.9602,16.17
332.89388,0.4805,7.98
332.90102,0.4146,6.86
332.91708,0.4515,7.49
332.93194,0.5394,8.99
332.93664,0.4216,6.98
332.9371,0.4157,6.88
332.94165,0.4199,6.95
332.94552,0.5014,8.34
332.95406,0.5501,9.17
332.95426,0.5139,8.55
332.95534,0.4571,7.58
332.95858,0.4405,7.3
332.99443,0.4242,7.02
333.02252,0.4191,6.93
333.06159,1.1103,18.73
333.07282,0.9062,15.25
333.09797,5.7783,98.42
333.10134,0.4939,8.21
333.10921,3.7253,63.37
333.13436,11.2596,191.99
333.14559,1.5906,26.93
333.17075,4.859,82.73
333.20713,0.9381,15.79
334.05684,0.4362,7.22
334.09322,2.8272,48.04
334.10134,1.2214,20.63
334.10446,1.3539,22.89
334.11255,0.6276,10.49
334.12961,2.9374,49.92
334.13772,2.2506,38.2
334.14083,1.3512,22.84
334.16599,0.8201,13.78
334.17411,1.0818,18.25
334.76964,1.1207,18.91
334.77054,3.0676,52.15
334.93839,2.4022,40.79
335.07724,4.8854,83.18
335.08061,0.53,8.83
335.08847,3.7801,64.31
335.09658,0.5244,8.73
335.11362,17.4393,297.48
335.12486,5.9452,101.27
335.15001,15.4719,263.9
335.16125,1.0516,17.73
335.1864,3.241,55.11
335.93797,0.6151,10.28
336.071,0.4531,7.51
336.07249,2.2782,38.67
336.0806,0.7504,12.59
336.08373,0.5129,8.53
336.09184,0.7455,12.51
336.10887,5.4557,92.91
336.11698,3.2182,54.72
336.1201,2.0997,35.62
336.12821,1.0297,17.36
336.14527,2.9014,49.31
336.15337,3.1368,53.33
336.15649,0.4755,7.9
336.18162,0.4432,7.35
336.18975,0.7017,11.76
336.76759,1.9355,32.82
336.76849,1.4067,23.79
336.93522,0.4935,8.2
337.05651,1.912,32.42
337.06774,1.3214,22.34
337.07585,0.4313,7.14
337.09289,14.8681,253.59
337.10412,8.206,139.86
337.11224,0.9641,16.24
337.12034,0.4767,7.92
337.12928,25.9091,442.07
337.14051,3.9511,67.23
337.14862,0.5827,9.73
337.16566,11.4517,195.27
337.20205,1.1742,19.82
338.05177,0.564,9.41
338.08814,6.5662,111.87
338.09625,2.9212,49.65
338.09939,1.1198,18.89
338.10748,1.4408,24.38
338.12453,6.1456,104.69
338.13263,4.9826,84.84
338.13577,0.9983,16.82
338.14387,0.7382,12.38
338.16092,1.4152,23.94
338.16902,2.4868,42.23
338.76464,0.4667,7.75
338.76555,1.0158,17.12
338.88731,4.6126,78.52
339.07216,7.0476,120.09
339.08338,3.513,59.75
339.09149,0.9828,16.56
339.10854,29.6699,506.27
339.11978,7.0045,119.35
339.12379,0.5256,8.75
339.12788,1.106,18.66
339.14492,20.6092,351.6
339.15615,1.0809,18.23
339.16018,9.0036,153.48
339.18131,3.9127,66.57
339.19994,2.273,38.58
340.0674,2.0805,35.29
340.07551,1.1292,19.05
340.08674,0.5733,9.56
340.10379,7.4675,127.26
340.11189,5.1495,87.69
340.11502,1.1513,19.43
340.11904,0.428,7.08
340.12313,1.355,22.91
340.14017,3.1465,53.49
340.14828,3.9443,67.11
340.16353,2.1054,35.72
340.18467,0.9093,15.3
340.88526,9.4006,160.26
341.05142,1.6842,28.53
341.07005,0.5397,8.99
341.0878,14.4114,245.8
341.09904,3.2415,55.11
341.10307,1.1592,19.57
341.10643,0.5592,9.33
341.10714,1.1674,19.71
341.11278,0.459,7.61
341.11429,0.8578,14.42
341.11525,0.5054,8.41
341.12419,22.1026,377.09
341.13542,2.1004,35.63
341.13945,1.6046,27.17
341.14352,0.472,7.84
341.15067,0.4863,8.08
341.16058,6.9371,118.2
341.17584,0.8476,14.25
341.19697,0.6009,10.04
341.88862,0.9601,12.73
342.08305,2.5874,35.07
342.09116,2.2519,30.47
342.09831,0.4539,5.77
342.10238,0.5184,6.66
342.11944,3.0629,41.6
342.12755,3.4674,47.16
342.1347,0.4819,6.16
342.14594,0.4225,5.34
342.15583,0.5743,7.43
342.16393,1.2934,17.3
342.76104,1.5961,21.46
342.82008,0.6531,8.51
342.83777,0.7934,10.44
342.88322,3.9152,53.31
343.06707,2.7834,37.77
343.08231,1.0499,13.96
343.0857,1.0796,14.37
343.09357,0.4609,5.87
343.0954,0.9629,12.76
343.10346,9.3952,128.56
343.10663,0.5391,6.95
343.11469,0.9713,12.88
343.11871,2.3104,31.27
343.12208,0.4733,6.04
343.12279,0.5846,7.57
343.12995,0.7216,9.45
343.13179,0.4764,6.08
343.13984,6.1214,83.6
343.1551,2.5379,34.39
343.17622,0.7811,10.27
343.19148,0.9145,12.1
343.21261,1.0037,13.33
343.88657,0.4588,5.84
344.07043,0.5214,6.7
344.07757,0.4851,6.2
344.0987,1.2406,16.58
344.10681,1.6796,22.61
344.11395,1.1355,15.14
344.12207,0.4199,5.31
344.1252,0.9714,12.88
344.1351,0.6249,8.12
344.1432,1.2193,16.29
344.15035,0.789,10.38
344.15846,0.5738,7.42
344.75899,4.5147,61.54
344.79935,0.7038,9.21
344.81803,0.4542,5.78
344.83414,0.497,6.37
344.83573,1.671,22.49
345.06158,0.6158,8
345.06497,0.817,10.76
345.07282,0.6588,8.59
345.07466,0.643,8.37
345.07621,0.4556,5.8
345.08272,2.4276,32.88
345.08591,0.432,5.47
345.09797,3.485,47.4
345.10135,1.2389,16.55
345.10921,1.7065,22.98
345.11104,1.2559,16.79
345.11911,3.861,52.56
345.13436,6.9111,94.45
345.1456,1.2651,16.91
345.15549,1.0382,13.8
345.17074,3.8094,51.85
345.20713,0.8271,10.9
346.05684,0.4341,5.5
346.08607,0.4401,5.59
346.09323,1.6591,22.33
346.10133,0.8284,10.92
346.10445,1.1795,15.74
346.11439,0.629,8.18
346.12246,0.5574,7.2
346.1296,2.2685,30.69
346.13771,1.6023,21.54
346.14084,1.4602,19.59
346.16599,0.9204,12.18
346.1741,0.9288,12.3
346.75694,5.1624,70.43
346.83277,0.7884,10.37
346.83368,0.9892,13.13
346.99244,0.4145,5.23
347.07724,3.3807,45.97
347.08061,1.3876,18.6
347.08847,2.1858,29.56
347.0903,0.927,12.27
347.09837,0.9642,12.78
347.10808,0.4923,6.3
347.11362,13.3425,182.77
347.11699,0.6644,8.66
347.12486,4.2491,57.89
347.12668,0.9404,12.45
347.13475,0.7362,9.65
347.15001,13.9203,190.7
347.16124,0.9985,13.25
347.18639,4.0355,54.96
348.07249,1.4631,19.63
348.08057,0.6372,8.29
348.08373,0.5845,7.57
348.10887,4.4207,60.25
348.11698,2.3394,31.67
348.12011,2.4614,33.34
348.12821,0.8728,11.53
348.14526,2.9393,39.91
348.15336,2.8273,38.37
348.15649,0.8547,11.28
348.18166,0.6327,8.23
348.18975,0.9477,12.56
348.7549,1.5063,20.23
348.95404,2.8812,39.11
349.0565,1.6147,21.72
349.06774,1.0885,14.49
349.08736,0.4351,5.52
349.09289,12.4773,170.89
349.09626,0.5823,7.54
349.10412,6.571,89.78
349.10594,0.6466,8.42
349.11224,0.6743,8.8
349.12927,26.5038,363.51
349.14051,4.4393,60.5
349.16394,0.4672,5.96
349.16417,0.4324,5.48
349.16566,13.1849,180.6
349.17691,0.4485,5.7
349.20205,2.0178,27.25
349.22929,0.4851,6.2
349.95361,0.6938,9.07
350.05178,0.4707,6.01
350.08814,4.5789,62.42
350.09625,2.1947,29.68
350.09937,1.797,24.22
350.10748,1.0742,14.29
350.12453,6.1525,84.03
350.13263,5.0985,69.56
350.13575,1.9487,26.3
350.14386,0.8997,11.9
350.16091,1.9715,26.62
350.16902,2.7971,37.95
350.17213,0.4323,5.48
