ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
634,340.06740371193,3.0635,23.93,0.0306333764310492,2314,C16H17O6Cl,341.0747208,340.06744433312,0.1730517,1,-1,-0.119450393238114
636,340.103793709003,2.8191,22.01,0.0281895059561843,2318,C17H21O5Cl,341.1111063,340.10382983312,0.1838674,1,-1,-0.106214966490201
660,342.025531787269,1.236,9.6,0.0123593449547174,2350,C18H11O5Cl,343.032856,342.02557953312,0.1946831,1,-1,-0.139597309156925
646,341.043363414021,1.3684,10.63,0.0136832747864363,2354,C15H15O7Cl,342.0506305,341.04335403312,1,0,-1,0.0275064750478564
662,342.061931715245,2.1821,17.02,0.0218198435482919,2357,C19H15O4Cl,343.0692415,342.06196503312,0.2054988,1,-1,-0.0974030386332968
650,341.079755108584,1.4777,11.49,0.0147762168605064,2360,C16H19O6Cl,342.087016,341.07973953312,1,0,-1,0.0456651684157309
664,342.083051673455,1.8539,14.44,0.0185380174850733,2360,C16H19O6Cl,343.0903708,342.08309433312,0.1730517,1,-1,-0.124705562665417
666,342.098331643221,1.7009,13.24,0.0170080985707757,2363,C20H19O3Cl,343.105627,342.09835053312,0.2163146,1,-1,-0.0552177439873433
686,344.041191258925,2.3347,18.21,0.0233457626745782,2396,C18H13O5Cl,345.048506,344.04122953312,0.1946831,1,-1,-0.111248861201802
676,343.059013478221,2.3545,18.37,0.0235437521811344,2399,C15H17O7Cl,344.0662806,343.05900413312,1,0,-1,0.0272405050156459
689,344.07758131991,2.329,18.17,0.0232887656954181,2402,C19H17O4Cl,345.0848915,344.07761503312,0.2054988,1,-1,-0.0979814116199682
706,345.0768500642,1.2573,9.76,0.0125723336663157,2403,C12H21O9Cl,346.0844598,345.07718333312,0.3199578,2,-1,-0.965780805524101
680,343.095398984521,1.5877,12.35,0.0158761585635961,2406,C16H21O6Cl,344.1026661,343.09538963312,1,0,-1,0.0272559782539274
692,344.113961380877,1.3568,10.54,0.0135672809341105,2408,C20H21O3Cl,345.121277,344.11400053312,0.2163146,1,-1,-0.113776953412041
699,345.038281848685,1.2677,9.84,0.0126763281546078,2440,C14H15O8Cl,346.0455451,345.03826863312,1,0,-1,0.0383017362560027
715,346.056832177891,3.3818,26.43,0.0338162077409897,2444,C18H15O5Cl,347.0641561,346.05687963312,0.1946831,1,-1,-0.137131298680058
705,345.074669187382,2.3477,18.31,0.0234757557849434,2448,C15H19O7Cl,346.0819306,345.07465413312,1,0,-1,0.0436261030047967
764,349.075846496916,1.408,10.94,0.0140792537995486,2448,C15H19O7Cl,350.0832269,349.07595043312,0.004602578,4,-1,-0.29774667665333
764,349.075846496916,1.408,10.94,0.0140792537995486,2449,C20H20OCl2,350.0832204,349.07594393312,0.102373,4,-1,-0.279126092332914
737,347.088483660958,1.8427,14.35,0.0184260234207587,2449,C20H20OCl2,348.0958303,347.08855383312,0.0222262,2,2,-0.202173657309255
718,346.093232146263,3.2162,25.13,0.0321602955043383,2450,C19H19O4Cl,347.1005416,346.09326513312,0.2054988,1,-1,-0.0953120466569535
710,345.11104904872,1.7618,13.72,0.0176170662954863,2453,C16H23O6Cl,346.1183161,345.11103963312,1,0,-1,0.0272828144510113
720,346.12960211466,1.3787,10.71,0.0137862693277256,2454,C20H23O3Cl,347.1369271,346.12965063312,0.2163146,1,-1,-0.140174236624061
756,348.9540430463,3.3847,26.45,0.0338452062040712,2471,C15H12OCl4,349.9612756,348.95399913312,1,2,-1,0.12584231741626
747,348.036101068009,2.4185,18.87,0.0241837182629321,2486,C17H13O6Cl,349.0434207,348.03614423312,0.1838674,1,-1,-0.124024792697127
731,347.053906628945,2.5676,20.04,0.0256746392441201,2490,C14H17O8Cl,348.0611952,347.05391873312,1,0,-1,-0.0348769295809844
749,348.072491059791,4.5446,35.55,0.045443591489651,2492,C18H17O5Cl,349.0798062,348.07252973312,0.1946831,1,-1,-0.11110709915009
764,349.075846496916,1.408,10.94,0.0140792537995486,2492,C18H17O5Cl,350.083161,349.07588453312,0.01789794,2,2,-0.10896256614955
738,347.090313606621,2.3797,18.57,0.0237957388258422,2495,C15H21O7Cl,348.0975807,347.09030423312,1,0,-1,0.0270059418558201
