ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
356,325.112191543492,0.4204,10.57,0.00416047313011276,1971,C17H21O4Cl,326.1195465,325.11227003312,0.01590928,2,2,-0.241423149260906
348,324.145229198986,0.801,20.23,0.00792706702478668,1975,C18H25O3Cl,325.1525772,324.14530073312,0.1946831,1,-1,-0.220685396385603
362,326.088107930146,1.1206,28.34,0.0110899766641398,2012,C16H19O5Cl,327.0954562,326.08817973312,0.1730517,1,-1,-0.220194962310396
366,326.124498076388,1.3638,34.51,0.0134967965148615,2016,C17H23O4Cl,327.1318417,326.12456523312,0.1838674,1,-1,-0.205923561871075
432,332.9874893084,0.5533,8.71,0.00547571308965602,2039,C12H15O4Cl3,333.9947417,332.98746523312,0.03275502,6,-1,0.0723008591996048
438,333.0028793084,0.4155,6.45,0.00411198046042305,2041,C11H14O7Cl2,334.0100043,333.00272783312,0.001472631,6,-1,0.454876994186292
438,333.0028793084,0.4155,6.45,0.00411198046042305,2043,C16H15OCl3,334.0099979,333.00272143312,0.03275502,6,-1,0.474096065134473
380,328.103769495912,0.9311,23.53,0.00921459688736439,2055,C16H21O5Cl,329.1111063,328.10382983312,0.1730517,1,-1,-0.183896688699118
437,332.9930993084,0.7126,11.33,0.00705221967773157,2077,C14H12O5Cl2,334.0002787,332.99300223312,0.102373,4,-1,0.291523483169654
438,333.0028793084,0.4155,6.45,0.00411198046042305,2077,C14H12O5Cl2,334.0099384,333.00266193312,0.006812015,4,2,0.652773400104635
395,330.098288112227,0.4948,12.46,0.00489676999234014,2094,C19H19O3Cl,331.105627,330.09835053312,0.2054988,1,-1,-0.189097865267476
397,330.134658158013,0.5207,13.12,0.00515308838927144,2097,C20H23O2Cl,331.1420125,330.13473603312,0.2163146,1,-1,-0.235888862188208
433,332.9885893084,0.5245,8.24,0.00519069494943897,2121,C11H15O5Cl3,333.9955565,332.98828003312,0.9598733,2,-1,0.928787282891238
