ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
161,296.077571571595,0.7422,12.45,0.00737524830101983,1438,C15H17O4Cl,297.0848915,296.07761503312,0.1622359,1,-1,-0.146790985935737
162,296.113961484508,1.388,23.47,0.0137925689057067,1441,C16H21O3Cl,297.121277,296.11400053312,0.1730517,1,-1,-0.13187019685118
181,298.093222384749,1.039,17.51,0.0103245526606839,1472,C15H19O4Cl,299.1005416,298.09326513312,0.1622359,1,-1,-0.143406028963087
183,298.129602508102,0.619,10.35,0.00615100875549889,1475,C16H23O3Cl,299.1369271,298.12965063312,0.1730517,1,-1,-0.161423119132305
201,300.108866541221,0.4586,7.61,0.00455711246409013,1508,C15H21O4Cl,301.1161917,300.10891523312,0.1622359,1,-1,-0.162247425555009
202,300.124156551972,0.4287,7.1,0.00425999588607815,1510,C19H21OCl,301.1314478,300.12417133312,0.2054988,1,-1,-0.0492501089555629
214,302.103406598754,0.555,9.25,0.00551504016042308,1546,C18H19O2Cl,303.1107124,302.10343593312,0.1946831,1,-1,-0.0971004065367501
216,302.139786574228,0.5774,9.63,0.00573762916869961,1549,C19H23OCl,303.1470979,302.13982143312,0.2054988,1,-1,-0.115373377562821
226,304.0826575271,0.7313,12.26,0.00726693489967099,1580,C17H17O3Cl,305.0899769,304.08270043312,0.1838674,1,-1,-0.141099838146887
228,304.119047588438,1.2797,21.62,0.0127163907987269,1583,C18H21O2Cl,305.1263624,304.11908593312,0.1946831,1,-1,-0.126084430082942
241,306.098309217696,1.2659,21.39,0.0125792600704136,1620,C17H19O3Cl,307.105627,306.09835053312,0.1838674,1,-1,-0.134974342771614
245,306.134699214254,0.9249,15.57,0.00919073989977533,1623,C18H23O2Cl,307.1420125,306.13473603312,0.1946831,1,-1,-0.120270134970311
266,308.8994029179,0.5611,9.36,0.00557565591714124,1633,C9H9OCl5,309.9066532,308.89937673312,1,2,-1,0.08476799209982
