mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
6378,C21H23O12Cl,HCOCl,21,23,12,0,1,502.0878039,501.08052743312,3.1,6.9,0.449275362318841,3,1,0,0,0.590361222508363,0.347374927520191,0.296923279762268,1.54708808660507,1.68692277732771,0.9171066437646,-0.108983854645979
6381,C25H23O9Cl,HCOCl,25,23,9,0,1,502.10306,501.09578353312,3.3,6.8,0.485294117647059,3,3,0,0,1.68670885986648,0.832556208914243,0.584409832954407,1.28769542742521,1.70168531243689,0.756717718613417,0.181658694029596
6386,C22H27O11Cl,HCOCl,22,27,11,0,1,502.1241894,501.11691293312,4.4,6.8,0.647058823529412,4,4,0,1,0.354930849513039,0.336225086308774,0.336027830839157,1.66550488118082,1.70999418210704,0.973982776437639,-0.0614100256465938
6388,C26H27O8Cl,HCOCl,26,27,8,0,1,502.1394455,501.13216903312,3.3,6.8,0.485294117647059,3,3,0,1,1.76785862236284,1.0823018948017,0.788583755493164,1.65873049362563,1.76539636938833,0.93957964476858,0.0914066712678964
6391,C23H31O10Cl,HCOCl,23,31,10,0,1,502.1605749,501.15329843312,4.5,6.8,0.661764705882353,4,5,0,0,0.269297593971714,0.201746763392926,0.190446004271507,1.703242835938,1.72550992539618,0.987095357070711,-0.0290915698948629
6394,C24H35O9Cl,HCOCl,24,35,9,0,1,502.1969604,501.18968393312,4.2,6.9,0.608695652173913,4,2,0,0,0.166905189864337,0.107860797712603,0.0996669232845306,1.69487560167909,1.74238530232105,0.972732953739521,-0.0813279022916901
6420,C27H17O8Cl,HCOCl,27,17,8,0,1,504.0611952,503.05391873312,2,6.8,0.294117647058824,2,0,0,0,0.513688487000763,0.344396869297355,0.319957792758942,1.29202470183372,1.72509422339499,0.748958917322798,0.553364300911935
6423,C24H21O10Cl,HCOCl,24,21,10,0,1,504.0823245,503.07504803312,3.4,6.8,0.5,3,4,0,0,1.98801872308832,0.973797650345479,0.559607326984406,1.27613235684112,1.68742584006395,0.7562598169012,0.117422003467661
6428,C21H25O12Cl,HCOCl,21,25,12,0,1,504.1034539,503.09617743312,4.1,6.9,0.594202898550725,4,1,0,0,0.521973864058964,0.320717884867425,0.290280252695084,1.55497822072357,1.69501282146666,0.917384341304319,-0.0809296658546417
6429,C33H22OCl2,HCOCl,33,22,1,0,2,504.1047707,503.09749423312,3.2,7.8,0.41025641025641,3,2,0,0,2.15406626090407,1.09395151919486,0.791833519935608,1.36577239143662,2.37299777078442,0.575547271157001,0.362631239925303
6431,C25H25O9Cl,HCOCl,25,25,9,0,1,504.1187101,503.11143363312,3.5,6.8,0.514705882352941,3,5,0,1,2.13319566077553,1.17817655349846,0.851585209369659,1.28792545455508,1.70191533956677,0.756750600110889,0.120333193274967
6434,C22H29O11Cl,HCOCl,22,29,11,0,1,504.1398394,503.13256293312,4.2,6.8,0.617647058823529,4,2,0,0,0.171122470637783,0.112768365632829,0.0836191177368164,1.63537715491839,1.71022420807276,0.956235531691651,-0.053449349319311
6435,C26H29O8Cl,HCOCl,26,29,8,0,1,504.1550956,503.14781913312,2.4,6.9,0.347826086956522,2,4,0,1,2.08808812289499,1.23355868605638,0.945720732212067,1.28454428561963,1.71116795414127,0.750682761742264,0.0219004719079971
6438,C23H33O10Cl,HCOCl,23,33,10,0,1,504.1762249,503.16894843312,4.3,6.8,0.632352941176471,4,3,0,0,0.229349197586998,0.148930669047256,0.131258130073547,1.65334081195761,1.72573995252606,0.958047479597099,-0.0808929203675588
6460,C27H19O8Cl,HCOCl,27,19,8,0,1,506.0768452,505.06956873312,2.1,6.8,0.308823529411765,2,1,0,0,1.65688259620219,1.04821184094436,0.949928462505341,1.01313745975494,1.72535168239847,0.587206347604767,0.546962037232756
6461,C32H20O2Cl2,HCOCl,32,20,2,0,2,506.0840352,505.07675873312,2.2,7.9,0.278481012658228,2,2,0,0,2.26065629348159,1.11039892145396,0.792327404022217,1.00593989202753,2.35124024236575,0.427833733832056,0.375001826267052
6462,C31H19O5Cl,HCOCl,31,19,5,0,1,506.0921014,505.08482493312,3.4,6.8,0.5,3,4,0,0,2.16356262832414,1.16850763167698,0.865343570709229,1.40203277301043,1.84970548783895,0.757976219581021,0.464610715667781
