ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
340,313.112239878855,0.5508,7.73,0.00550388859521937,1737,C16H21O4Cl,314.1195465,313.11227003312,0.0140376,2,2,-0.0963049609807173
331,312.14527394793,0.7229,10.2,0.00722360396783603,1740,C17H25O3Cl,313.1525772,312.14530073312,0.1838674,1,-1,-0.0858100041824824
346,314.088145863559,1.9202,27.41,0.0191876668128908,1773,C15H19O5Cl,315.0954562,314.08817973312,0.1622359,1,-1,-0.107834562095515
348,314.103425874453,0.4989,6.98,0.00498527599882887,1774,C19H19O2Cl,315.1107124,314.10343593312,0.2054988,1,-1,-0.0320234216161257
349,314.124535889505,1.2857,18.29,0.0128474029899665,1776,C16H23O4Cl,315.1318417,314.12456523312,0.1730517,1,-1,-0.0934139466594017
384,317.2343256347,0.5332,7.48,0.00532801996908309,1780,C19H35OCl,318.241403,317.23412653312,0.0064003,4,-1,0.627617155097245
360,316.082678023293,0.5053,7.07,0.00504922822651479,1809,C18H17O3Cl,317.0899769,316.08270043312,0.1946831,1,-1,-0.0708986197307963
361,316.103808054273,0.7611,10.75,0.00760531882683635,1811,C15H21O5Cl,317.1111063,316.10382983312,0.1622359,1,-1,-0.068897764100432
363,316.119068076647,0.7729,10.92,0.00772323074663227,1813,C19H21O2Cl,317.1263624,316.11908593312,0.2054988,1,-1,-0.0564865401771302
390,318.09833072582,0.8544,12.09,0.00853762239607013,1849,C18H19O3Cl,319.105627,318.09835053312,0.1946831,1,-1,-0.0622678474523954
392,318.134700769634,0.9002,12.75,0.00899528052544749,1852,C19H23O2Cl,319.1420125,318.13473603312,0.2054988,1,-1,-0.110844501990937
432,322.8963682958,0.5158,7.23,0.005154149850062,1863,C10H9OCl5,323.9037031,322.89642663312,0.6399155,4,-1,-0.180668831244789
409,320.9227537379,1.0887,15.46,0.0108788734815093,1864,C13H8OCl4,321.9299755,320.92269903312,1,2,-1,0.170460924543401
402,320.077574693453,1.6152,23.03,0.0161399434622337,1886,C17H17O4Cl,321.0848915,320.07761503312,0.1838674,1,-1,-0.12603089117031
437,323.096596729308,0.8576,12.14,0.00856959850991309,1889,C14H21O6Cl,324.1039624,323.09668593312,0.003945067,4,-1,-0.276090147345904
404,320.113964423806,2.4292,34.73,0.0242738674210365,1890,C18H21O3Cl,321.121277,320.11400053312,0.1946831,1,-1,-0.112801420409638
407,320.150354154159,0.9493,13.46,0.0094859140222254,1892,C19H25O2Cl,321.1576626,320.15038613312,0.2054988,1,-1,-0.0998873096329951
419,322.056861539851,1.0294,14.61,0.010286316121857,1920,C16H15O5Cl,323.0641561,322.05687963312,0.1730517,1,-1,-0.0561803532410493
457,325.075865970522,0.788,11.14,0.00787411803382873,1924,C13H19O7Cl,326.0832269,325.07595043312,0.004602578,4,-1,-0.25982419699412
457,325.075865970522,0.788,11.14,0.00787411803382873,1925,C18H20OCl2,326.0832204,325.07594393312,0.102373,4,-1,-0.239828874620868
436,323.088485501818,4.2941,61.53,0.0429089470165786,1925,C18H20OCl2,324.0958303,323.08855383312,0.01789794,2,2,-0.211494034841387
445,324.091845351177,0.5398,7.57,0.0053939707038842,1925,C18H20OCl2,325.0991851,324.09190863312,0.001032423,3,2,-0.195259251456178
420,322.09324171553,5.3636,76.9,0.0535959638150302,1926,C17H19O4Cl,323.1005416,322.09326513312,0.1838674,1,-1,-0.0727043753917799
437,323.096596729308,0.8576,12.14,0.00856959850991309,1926,C17H19O4Cl,324.1038964,323.09661993312,0.01590928,2,2,-0.0718169432634584
460,325.112241478057,1.3207,18.8,0.0131971417351239,1929,C14H23O6Cl,326.1196124,325.11233593312,0.003945067,4,-1,-0.290530541105588
424,322.12962189121,3.7784,54.12,0.0377557964200742,1930,C18H23O3Cl,323.1369271,322.12965063312,0.1946831,1,-1,-0.0892246646678323
427,322.166012066938,0.7366,10.4,0.0073605017052262,1932,C19H27O2Cl,323.1733126,322.16603613312,0.2054988,1,-1,-0.0747011772327455
443,324.072505374548,3.1983,45.78,0.0319591265324802,1966,C16H17O5Cl,325.0798062,324.07252973312,0.1730517,1,-1,-0.075163952417315
457,325.075865970522,0.788,11.14,0.00787411803382873,1966,C16H17O5Cl,326.083161,325.07588453312,0.0140376,2,2,-0.0571023526664683
481,327.091502506822,1.0297,14.61,0.0102893138825298,1969,C13H21O7Cl,328.098877,327.09160053312,0.004602578,4,-1,-0.299690661667889
481,327.091502506822,1.0297,14.61,0.0102893138825298,1970,C18H22OCl2,328.0988705,327.09159403312,0.102373,4,-1,-0.279818557917693
459,325.104132479539,5.6055,80.38,0.0560131581708464,1970,C18H22OCl2,326.1114804,325.10420393312,0.01789794,2,2,-0.219786704137291
470,326.107495495181,0.8775,12.43,0.008768449967874,1970,C18H22OCl2,327.1148352,326.10755873312,0.001032423,3,2,-0.193917427359817
482,327.098648912408,0.605,8.51,0.00604548402343449,1970,C18H22OCl2,328.106067,327.09879053312,0.001315022,4,1,-0.432960060380677
446,324.108895330573,6.9889,100.26,0.0698368318865807,1971,C17H21O4Cl,325.1161917,324.10891523312,0.1838674,1,-1,-0.0614069732213563
460,325.112241478057,1.3207,18.8,0.0131971417351239,1971,C17H21O4Cl,326.1195465,325.11227003312,0.01590928,2,2,-0.0878313909666673
487,327.127891874816,0.9231,13.08,0.00922410959013617,1974,C14H25O6Cl,328.1352625,327.12798603312,0.003945067,4,-1,-0.287833227840047
450,324.145275286609,2.1399,30.57,0.0213830268789214,1975,C18H25O3Cl,325.1525772,324.14530073312,0.1946831,1,-1,-0.0785034076348544
452,324.181705242586,0.513,7.19,0.00512617075044941,1977,C19H29O2Cl,325.1889627,324.18168623312,0.2054988,1,-1,0.0586383085559072
467,326.088155468478,6.0054,86.13,0.0600091731476587,2012,C16H19O5Cl,327.0954562,326.08817973312,0.1730517,1,-1,-0.0744112897804082
481,327.091502506822,1.0297,14.61,0.0102893138825298,2012,C16H19O5Cl,328.0988111,327.09153463312,0.0140376,2,2,-0.0982180666569648
512,329.107162565995,0.643,9.05,0.00642520037531964,2015,C18H24OCl2,330.1145206,329.10724413312,0.102373,4,-1,-0.247843603360725
485,327.119791082714,2.6946,38.54,0.0269258863628869,2015,C18H24OCl2,328.1271304,327.11985393312,0.01789794,2,2,-0.192132654476623
500,328.123135252145,0.579,8.13,0.00578567809846045,2015,C18H24OCl2,329.1304853,328.12320883312,0.001032423,3,2,-0.224248003598475
513,329.114308971581,0.8003,11.31,0.0079970262214126,2015,C18H24OCl2,330.121717,329.11444053312,0.001315022,4,1,-0.399744049494738
471,326.124545518723,5.0643,72.6,0.0506051979171559,2016,C17H23O4Cl,327.1318417,326.12456523312,0.1838674,1,-1,-0.0604505136045306
487,327.127891874816,0.9231,13.08,0.00922410959013617,2016,C17H23O4Cl,328.1351966,327.12792013312,0.01590928,2,2,-0.0863830396591417
